entry_signal,drop_level,exit_signal,buy_pct,alloc_base,alloc_x2,alloc_x3,cagr,worst_ann_ret,passed
1.01,0.005,0.95,0.1,0.0,0.0,1.0,6.28,-38.38,True
1.01,0.005,0.95,0.1,0.0,0.25,0.75,6.44,-35.52,True
1.01,0.005,0.95,0.1,0.0,0.5,0.5,6.53,-32.62,True
1.01,0.005,0.95,0.1,0.0,0.75,0.25,6.57,-29.66,True
1.01,0.005,0.95,0.1,0.0,1.0,0.0,6.53,-26.65,True
1.01,0.005,0.95,0.1,0.1,0.0,1.0,7.15,-32.33,True
1.01,0.005,0.95,0.1,0.1,0.25,0.75,7.26,-29.65,True
1.01,0.005,0.95,0.1,0.1,0.5,0.5,7.32,-26.88,True
1.01,0.005,0.95,0.1,0.1,0.75,0.25,7.34,-24.01,True
1.01,0.005,0.95,0.1,0.1,1.0,0.0,7.3,-21.06,True
1.01,0.005,0.95,0.1,0.2,0.0,1.0,7.82,-26.76,True
1.01,0.005,0.95,0.1,0.2,0.25,0.75,7.91,-24.24,True
1.01,0.005,0.95,0.1,0.2,0.5,0.5,7.96,-21.58,True
1.01,0.005,0.95,0.1,0.2,0.75,0.25,7.97,-18.82,True
1.01,0.005,0.95,0.1,0.2,1.0,0.0,7.93,-16.97,True
1.01,0.005,0.95,0.1,0.3,0.0,1.0,8.38,-25.25,True
1.01,0.005,0.95,0.1,0.3,0.25,0.75,8.45,-24.09,True
1.01,0.005,0.95,0.1,0.3,0.5,0.5,8.48,-22.94,True
1.01,0.005,0.95,0.1,0.3,0.75,0.25,8.48,-21.8,True
1.01,0.005,0.95,0.1,0.3,1.0,0.0,8.44,-20.66,True
1.01,0.005,0.95,0.2,0.0,0.0,1.0,7.31,-33.3,True
1.01,0.005,0.95,0.2,0.0,0.25,0.75,7.47,-30.91,True
1.01,0.005,0.95,0.2,0.0,0.5,0.5,7.56,-28.46,True
1.01,0.005,0.95,0.2,0.0,0.75,0.25,7.58,-25.97,True
1.01,0.005,0.95,0.2,0.0,1.0,0.0,7.53,-23.42,True
1.01,0.005,0.95,0.2,0.1,0.0,1.0,7.82,-31.09,True
1.01,0.005,0.95,0.2,0.1,0.25,0.75,7.96,-28.8,True
1.01,0.005,0.95,0.2,0.1,0.5,0.5,8.03,-26.47,True
