entry_signal,drop_level,exit_signal,buy_pct,alloc_base,alloc_x2,alloc_x3,cagr,worst_ann_ret,passed
1.01,0.005,0.95,0.1,0.0,0.0,1.0,9.96,-44.39,False
1.01,0.005,0.95,0.1,0.0,0.25,0.75,9.97,-41.22,False
1.01,0.005,0.95,0.1,0.0,0.5,0.5,9.91,-37.98,True
1.01,0.005,0.95,0.1,0.0,0.75,0.25,9.8,-34.67,True
1.01,0.005,0.95,0.1,0.0,1.0,0.0,9.64,-31.29,True
1.01,0.005,0.95,0.1,0.1,0.0,1.0,9.96,-40.18,False
1.01,0.005,0.95,0.1,0.1,0.25,0.75,9.97,-37.08,True
1.01,0.005,0.95,0.1,0.1,0.5,0.5,9.93,-33.89,True
1.01,0.005,0.95,0.1,0.1,0.75,0.25,9.84,-30.61,True
1.01,0.005,0.95,0.1,0.1,1.0,0.0,9.7,-27.25,True
1.01,0.005,0.95,0.1,0.2,0.0,1.0,9.9,-35.25,True
1.01,0.005,0.95,0.1,0.2,0.25,0.75,9.93,-32.27,True
1.01,0.005,0.95,0.1,0.2,0.5,0.5,9.91,-29.2,True
1.01,0.005,0.95,0.1,0.2,0.75,0.25,9.85,-26.02,True
1.01,0.005,0.95,0.1,0.2,1.0,0.0,9.74,-22.76,True
1.01,0.005,0.95,0.1,0.3,0.0,1.0,9.86,-29.64,True
1.01,0.005,0.95,0.1,0.3,0.25,0.75,9.9,-26.88,True
1.01,0.005,0.95,0.1,0.3,0.5,0.5,9.9,-24.99,True
1.01,0.005,0.95,0.1,0.3,0.75,0.25,9.86,-23.36,True
1.01,0.005,0.95,0.1,0.3,1.0,0.0,9.79,-21.74,True
1.01,0.005,0.95,0.2,0.0,0.0,1.0,8.73,-39.55,True
1.01,0.005,0.95,0.2,0.0,0.25,0.75,8.92,-36.54,True
1.01,0.005,0.95,0.2,0.0,0.5,0.5,9.04,-33.48,True
1.01,0.005,0.95,0.2,0.0,0.75,0.25,9.1,-30.37,True
1.01,0.005,0.95,0.2,0.0,1.0,0.0,9.09,-27.22,True
1.01,0.005,0.95,0.2,0.1,0.0,1.0,8.89,-36.49,True
1.01,0.005,0.95,0.2,0.1,0.25,0.75,9.07,-33.43,True
1.01,0.005,0.95,0.2,0.1,0.5,0.5,9.19,-30.35,True
1.01,0.005,0.95,0.2,0.1,0.75,0.25,9.24,-27.28,True
1.01,0.005,0.95,0.2,0.1,1.0,0.0,9.24,-24.26,True
1.01,0.005,0.95,0.2,0.2,0.0,1.0,9.07,-37.0,True
1.01,0.005,0.95,0.2,0.2,0.25,0.75,9.23,-34.18,True
1.01,0.005,0.95,0.2,0.2,0.5,0.5,9.33,-31.35,True
1.01,0.005,0.95,0.2,0.2,0.75,0.25,9.39,-28.53,True
1.01,0.005,0.95,0.2,0.2,1.0,0.0,9.39,-25.71,True
1.01,0.005,0.95,0.2,0.3,0.0,1.0,9.31,-36.61,True
1.01,0.005,0.95,0.2,0.3,0.25,0.75,9.44,-34.14,True
1.01,0.005,0.95,0.2,0.3,0.5,0.5,9.53,-31.66,True
1.01,0.005,0.95,0.2,0.3,0.75,0.25,9.57,-29.18,True
1.01,0.005,0.95,0.2,0.3,1.0,0.0,9.56,-26.7,True
1.01,0.005,0.95,0.3,0.0,0.0,1.0,8.75,-38.78,True
1.01,0.005,0.95,0.3,0.0,0.25,0.75,8.98,-35.97,True
1.01,0.005,0.95,0.3,0.0,0.5,0.5,9.13,-33.07,True
1.01,0.005,0.95,0.3,0.0,0.75,0.25,9.21,-30.07,True
1.01,0.005,0.95,0.3,0.0,1.0,0.0,9.22,-26.98,True
1.01,0.005,0.95,0.3,0.1,0.0,1.0,9.0,-37.6,True
1.01,0.005,0.95,0.3,0.1,0.25,0.75,9.19,-34.38,True
1.01,0.005,0.95,0.3,0.1,0.5,0.5,9.33,-31.17,True
1.01,0.005,0.95,0.3,0.1,0.75,0.25,9.39,-28.18,True
1.01,0.005,0.95,0.3,0.1,1.0,0.0,9.39,-25.22,True
1.01,0.005,0.95,0.3,0.2,0.0,1.0,9.26,-37.37,True
1.01,0.005,0.95,0.3,0.2,0.25,0.75,9.42,-34.49,True
1.01,0.005,0.95,0.3,0.2,0.5,0.5,9.53,-31.61,True
1.01,0.005,0.95,0.3,0.2,0.75,0.25,9.58,-28.74,True
1.01,0.005,0.95,0.3,0.2,1.0,0.0,9.58,-25.87,True
1.01,0.005,0.95,0.3,0.3,0.0,1.0,9.53,-37.16,True
1.01,0.005,0.95,0.3,0.3,0.25,0.75,9.66,-34.61,True
1.01,0.005,0.95,0.3,0.3,0.5,0.5,9.74,-32.06,True
1.01,0.005,0.95,0.3,0.3,0.75,0.25,9.78,-29.51,True
1.01,0.005,0.95,0.3,0.3,1.0,0.0,9.76,-26.98,True
1.01,0.005,0.95,0.4,0.0,0.0,1.0,9.05,-39.26,True
1.01,0.005,0.95,0.4,0.0,0.25,0.75,9.26,-36.42,True
1.01,0.005,0.95,0.4,0.0,0.5,0.5,9.41,-33.5,True
1.01,0.005,0.95,0.4,0.0,0.75,0.25,9.47,-30.47,True
1.01,0.005,0.95,0.4,0.0,1.0,0.0,9.46,-27.33,True
1.01,0.005,0.95,0.4,0.1,0.0,1.0,9.32,-38.3,True
1.01,0.005,0.95,0.4,0.1,0.25,0.75,9.51,-35.04,True
1.01,0.005,0.95,0.4,0.1,0.5,0.5,9.62,-31.77,True
1.01,0.005,0.95,0.4,0.1,0.75,0.25,9.67,-28.53,True
1.01,0.005,0.95,0.4,0.1,1.0,0.0,9.64,-25.53,True
1.01,0.005,0.95,0.4,0.2,0.0,1.0,9.58,-38.1,True
1.01,0.005,0.95,0.4,0.2,0.25,0.75,9.73,-35.15,True
1.01,0.005,0.95,0.4,0.2,0.5,0.5,9.82,-32.21,True
1.01,0.005,0.95,0.4,0.2,0.75,0.25,9.86,-29.28,True
1.01,0.005,0.95,0.4,0.2,1.0,0.0,9.83,-26.35,True
1.01,0.005,0.95,0.4,0.3,0.0,1.0,9.75,-37.64,True
1.01,0.005,0.95,0.4,0.3,0.25,0.75,9.87,-35.02,True
1.01,0.005,0.95,0.4,0.3,0.5,0.5,9.94,-32.42,True
1.01,0.005,0.95,0.4,0.3,0.75,0.25,9.95,-29.82,True
1.01,0.005,0.95,0.4,0.3,1.0,0.0,9.92,-27.24,True
1.01,0.005,0.97,0.1,0.0,0.0,1.0,9.2,-36.78,True
1.01,0.005,0.97,0.1,0.0,0.25,0.75,9.16,-34.02,True
1.01,0.005,0.97,0.1,0.0,0.5,0.5,9.05,-31.21,True
1.01,0.005,0.97,0.1,0.0,0.75,0.25,8.87,-28.36,True
1.01,0.005,0.97,0.1,0.0,1.0,0.0,8.63,-25.46,True
1.01,0.005,0.97,0.1,0.1,0.0,1.0,9.55,-31.93,True
1.01,0.005,0.97,0.1,0.1,0.25,0.75,9.5,-29.25,True
1.01,0.005,0.97,0.1,0.1,0.5,0.5,9.39,-26.49,True
1.01,0.005,0.97,0.1,0.1,0.75,0.25,9.23,-23.67,True
1.01,0.005,0.97,0.1,0.1,1.0,0.0,9.01,-20.77,True
1.01,0.005,0.97,0.1,0.2,0.0,1.0,9.8,-27.08,True
1.01,0.005,0.97,0.1,0.2,0.25,0.75,9.76,-24.51,True
1.01,0.005,0.97,0.1,0.2,0.5,0.5,9.67,-21.86,True
1.01,0.005,0.97,0.1,0.2,0.75,0.25,9.52,-19.13,True
1.01,0.005,0.97,0.1,0.2,1.0,0.0,9.33,-16.43,True
1.01,0.005,0.97,0.1,0.3,0.0,1.0,10.02,-24.69,True
1.01,0.005,0.97,0.1,0.3,0.25,0.75,9.98,-23.54,True
1.01,0.005,0.97,0.1,0.3,0.5,0.5,9.89,-22.41,True
1.01,0.005,0.97,0.1,0.3,0.75,0.25,9.76,-21.3,True
1.01,0.005,0.97,0.1,0.3,1.0,0.0,9.58,-20.19,True
1.01,0.005,0.97,0.2,0.0,0.0,1.0,10.28,-31.28,True
1.01,0.005,0.97,0.2,0.0,0.25,0.75,10.21,-28.75,True
1.01,0.005,0.97,0.2,0.0,0.5,0.5,10.06,-26.2,True
1.01,0.005,0.97,0.2,0.0,0.75,0.25,9.85,-23.63,True
1.01,0.005,0.97,0.2,0.0,1.0,0.0,9.56,-21.06,True
1.01,0.005,0.97,0.2,0.1,0.0,1.0,10.38,-27.5,True
1.01,0.005,0.97,0.2,0.1,0.25,0.75,10.31,-25.39,True
1.01,0.005,0.97,0.2,0.1,0.5,0.5,10.18,-23.45,True
1.01,0.005,0.97,0.2,0.1,0.75,0.25,9.99,-21.47,True
1.01,0.005,0.97,0.2,0.1,1.0,0.0,9.73,-19.45,True
1.01,0.005,0.97,0.2,0.2,0.0,1.0,10.45,-28.8,True
1.01,0.005,0.97,0.2,0.2,0.25,0.75,10.4,-27.07,True
1.01,0.005,0.97,0.2,0.2,0.5,0.5,10.28,-25.33,True
1.01,0.005,0.97,0.2,0.2,0.75,0.25,10.11,-23.57,True
1.01,0.005,0.97,0.2,0.2,1.0,0.0,9.88,-21.8,True
1.01,0.005,0.97,0.2,0.3,0.0,1.0,10.49,-30.42,True
1.01,0.005,0.97,0.2,0.3,0.25,0.75,10.44,-28.86,True
