entry_signal,drop_level,exit_signal,buy_pct,alloc_base,alloc_x2,alloc_x3,cagr,worst_ann_ret,passed
1.01,0.005,0.95,0.1,0.0,0.0,1.0,7.84,-29.09,True
1.01,0.005,0.95,0.1,0.0,0.25,0.75,7.98,-26.66,True
1.01,0.005,0.95,0.1,0.0,0.5,0.5,8.09,-24.07,True
1.01,0.005,0.95,0.1,0.0,0.75,0.25,8.16,-21.37,True
1.01,0.005,0.95,0.1,0.0,1.0,0.0,8.2,-19.21,True
1.01,0.005,0.95,0.1,0.1,0.0,1.0,7.83,-26.81,True
1.01,0.005,0.95,0.1,0.1,0.25,0.75,7.98,-24.64,True
1.01,0.005,0.95,0.1,0.1,0.5,0.5,8.1,-22.38,True
1.01,0.005,0.95,0.1,0.1,0.75,0.25,8.19,-20.35,True
1.01,0.005,0.95,0.1,0.1,1.0,0.0,8.24,-18.29,True
1.01,0.005,0.95,0.1,0.2,0.0,1.0,7.75,-26.14,True
1.01,0.005,0.95,0.1,0.2,0.25,0.75,7.92,-24.38,True
1.01,0.005,0.95,0.1,0.2,0.5,0.5,8.05,-22.61,True
1.01,0.005,0.95,0.1,0.2,0.75,0.25,8.15,-20.85,True
1.01,0.005,0.95,0.1,0.2,1.0,0.0,8.21,-19.09,True
1.01,0.005,0.95,0.1,0.3,0.0,1.0,7.44,-29.99,True
1.01,0.005,0.95,0.1,0.3,0.25,0.75,7.66,-28.19,True
1.01,0.005,0.95,0.1,0.3,0.5,0.5,7.83,-26.38,True
1.01,0.005,0.95,0.1,0.3,0.75,0.25,7.98,-24.58,True
1.01,0.005,0.95,0.1,0.3,1.0,0.0,8.1,-22.77,True
1.01,0.005,0.95,0.2,0.0,0.0,1.0,5.35,-37.1,True
1.01,0.005,0.95,0.2,0.0,0.25,0.75,5.82,-34.4,True
1.01,0.005,0.95,0.2,0.0,0.5,0.5,6.25,-31.61,True
1.01,0.005,0.95,0.2,0.0,0.75,0.25,6.62,-28.74,True
1.01,0.005,0.95,0.2,0.0,1.0,0.0,6.95,-25.77,True
1.01,0.005,0.95,0.2,0.1,0.0,1.0,5.65,-36.64,True
1.01,0.005,0.95,0.2,0.1,0.25,0.75,6.11,-33.62,True
1.01,0.005,0.95,0.2,0.1,0.5,0.5,6.51,-30.59,True
1.01,0.005,0.95,0.2,0.1,0.75,0.25,6.87,-27.54,True
1.01,0.005,0.95,0.2,0.1,1.0,0.0,7.17,-24.47,True
1.01,0.005,0.95,0.2,0.2,0.0,1.0,6.13,-36.8,True
1.01,0.005,0.95,0.2,0.2,0.25,0.75,6.52,-34.16,True
1.01,0.005,0.95,0.2,0.2,0.5,0.5,6.86,-31.49,True
1.01,0.005,0.95,0.2,0.2,0.75,0.25,7.17,-28.77,True
1.01,0.005,0.95,0.2,0.2,1.0,0.0,7.43,-26.03,True
1.01,0.005,0.95,0.2,0.3,0.0,1.0,6.63,-36.34,True
1.01,0.005,0.95,0.2,0.3,0.25,0.75,6.97,-34.1,True
1.01,0.005,0.95,0.2,0.3,0.5,0.5,7.27,-31.82,True
