entry_signal,drop_level,exit_signal,buy_pct,alloc_base,alloc_x2,alloc_x3,cagr,worst_ann_ret,passed
1.01,0.005,0.95,0.1,0.0,0.0,1.0,7.27,-44.39,False
1.01,0.005,0.95,0.1,0.0,0.25,0.75,7.46,-41.22,False
1.01,0.005,0.95,0.1,0.0,0.5,0.5,7.59,-37.98,True
1.01,0.005,0.95,0.1,0.0,0.75,0.25,7.67,-34.67,True
1.01,0.005,0.95,0.1,0.0,1.0,0.0,7.69,-31.29,True
1.01,0.005,0.95,0.1,0.1,0.0,1.0,7.29,-39.37,True
1.01,0.005,0.95,0.1,0.1,0.25,0.75,7.48,-36.37,True
1.01,0.005,0.95,0.1,0.1,0.5,0.5,7.62,-33.28,True
1.01,0.005,0.95,0.1,0.1,0.75,0.25,7.71,-30.1,True
1.01,0.005,0.95,0.1,0.1,1.0,0.0,7.75,-26.82,True
1.01,0.005,0.95,0.1,0.2,0.0,1.0,7.3,-33.45,True
1.01,0.005,0.95,0.1,0.2,0.25,0.75,7.49,-30.73,True
1.01,0.005,0.95,0.1,0.2,0.5,0.5,7.64,-27.87,True
1.01,0.005,0.95,0.1,0.2,0.75,0.25,7.74,-24.92,True
1.01,0.005,0.95,0.1,0.2,1.0,0.0,7.8,-21.86,True
1.01,0.005,0.95,0.1,0.3,0.0,1.0,7.3,-29.99,True
1.01,0.005,0.95,0.1,0.3,0.25,0.75,7.5,-28.19,True
1.01,0.005,0.95,0.1,0.3,0.5,0.5,7.65,-26.38,True
1.01,0.005,0.95,0.1,0.3,0.75,0.25,7.77,-24.58,True
1.01,0.005,0.95,0.1,0.3,1.0,0.0,7.85,-22.77,True
1.01,0.005,0.95,0.2,0.0,0.0,1.0,5.59,-39.55,True
1.01,0.005,0.95,0.2,0.0,0.25,0.75,5.99,-36.54,True
1.01,0.005,0.95,0.2,0.0,0.5,0.5,6.33,-33.48,True
1.01,0.005,0.95,0.2,0.0,0.75,0.25,6.61,-30.37,True
1.01,0.005,0.95,0.2,0.0,1.0,0.0,6.81,-27.22,True
1.01,0.005,0.95,0.2,0.1,0.0,1.0,6.0,-36.64,True
1.01,0.005,0.95,0.2,0.1,0.25,0.75,6.35,-33.62,True
1.01,0.005,0.95,0.2,0.1,0.5,0.5,6.65,-30.59,True
1.01,0.005,0.95,0.2,0.1,0.75,0.25,6.9,-27.54,True
1.01,0.005,0.95,0.2,0.1,1.0,0.0,7.09,-24.47,True
