entry_signal,drop_level,exit_signal,buy_pct,alloc_base,alloc_x2,alloc_x3,cagr,worst_ann_ret,passed
1.01,0.005,0.95,0.1,0.0,0.0,1.0,16.28,-35.78,True
1.01,0.005,0.95,0.1,0.0,0.25,0.75,15.69,-32.95,True
1.01,0.005,0.95,0.1,0.0,0.5,0.5,14.99,-30.05,True
1.01,0.005,0.95,0.1,0.0,0.75,0.25,14.19,-27.07,True
1.01,0.005,0.95,0.1,0.0,1.0,0.0,13.25,-24.0,True
1.01,0.005,0.95,0.1,0.1,0.0,1.0,16.02,-39.69,True
1.01,0.005,0.95,0.1,0.1,0.25,0.75,15.53,-36.99,True
1.01,0.005,0.95,0.1,0.1,0.5,0.5,14.94,-34.24,True
1.01,0.005,0.95,0.1,0.1,0.75,0.25,14.26,-31.42,True
1.01,0.005,0.95,0.1,0.1,1.0,0.0,13.46,-28.54,True
1.01,0.005,0.95,0.1,0.2,0.0,1.0,15.69,-43.17,True
1.01,0.005,0.95,0.1,0.2,0.25,0.75,15.29,-40.79,True
1.01,0.005,0.95,0.1,0.2,0.5,0.5,14.81,-38.3,True
1.01,0.005,0.95,0.1,0.2,0.75,0.25,14.24,-35.72,True
1.01,0.005,0.95,0.1,0.2,1.0,0.0,13.56,-33.03,True
1.01,0.005,0.95,0.1,0.3,0.0,1.0,15.71,-43.2,True
1.01,0.005,0.95,0.1,0.3,0.25,0.75,15.33,-41.31,True
1.01,0.005,0.95,0.1,0.3,0.5,0.5,14.9,-39.29,True
1.01,0.005,0.95,0.1,0.3,0.75,0.25,14.39,-37.14,True
1.01,0.005,0.95,0.1,0.3,1.0,0.0,13.81,-34.86,True
1.01,0.005,0.95,0.2,0.0,0.0,1.0,16.8,-45.32,True
1.01,0.005,0.95,0.2,0.0,0.25,0.75,16.28,-41.8,True
1.01,0.005,0.95,0.2,0.0,0.5,0.5,15.64,-38.18,True
1.01,0.005,0.95,0.2,0.0,0.75,0.25,14.87,-34.47,True
1.01,0.005,0.95,0.2,0.0,1.0,0.0,13.93,-30.65,True
1.01,0.005,0.95,0.2,0.1,0.0,1.0,17.17,-44.79,True
1.01,0.005,0.95,0.2,0.1,0.25,0.75,16.63,-41.89,True
1.01,0.005,0.95,0.2,0.1,0.5,0.5,15.98,-38.87,True
1.01,0.005,0.95,0.2,0.1,0.75,0.25,15.22,-35.72,True
1.01,0.005,0.95,0.2,0.1,1.0,0.0,14.34,-32.45,True
1.01,0.005,0.95,0.2,0.2,0.0,1.0,17.28,-44.26,True
1.01,0.005,0.95,0.2,0.2,0.25,0.75,16.76,-41.86,True
1.01,0.005,0.95,0.2,0.2,0.5,0.5,16.14,-39.33,True
1.01,0.005,0.95,0.2,0.2,0.75,0.25,15.43,-36.67,True
1.01,0.005,0.95,0.2,0.2,1.0,0.0,14.63,-33.88,True
1.01,0.005,0.95,0.2,0.3,0.0,1.0,17.09,-43.74,True
1.01,0.005,0.95,0.2,0.3,0.25,0.75,16.65,-41.77,True
1.01,0.005,0.95,0.2,0.3,0.5,0.5,16.12,-39.67,True
1.01,0.005,0.95,0.2,0.3,0.75,0.25,15.49,-37.44,True
1.01,0.005,0.95,0.2,0.3,1.0,0.0,14.78,-35.09,True
1.01,0.005,0.95,0.3,0.0,0.0,1.0,17.97,-45.85,True
1.01,0.005,0.95,0.3,0.0,0.25,0.75,17.37,-42.33,True
1.01,0.005,0.95,0.3,0.0,0.5,0.5,16.65,-38.71,True
1.01,0.005,0.95,0.3,0.0,0.75,0.25,15.8,-35.0,True
1.01,0.005,0.95,0.3,0.0,1.0,0.0,14.78,-31.18,True
1.01,0.005,0.95,0.3,0.1,0.0,1.0,17.77,-45.14,True
1.01,0.005,0.95,0.3,0.1,0.25,0.75,17.23,-42.21,True
1.01,0.005,0.95,0.3,0.1,0.5,0.5,16.57,-39.17,True
1.01,0.005,0.95,0.3,0.1,0.75,0.25,15.78,-36.0,True
1.01,0.005,0.95,0.3,0.1,1.0,0.0,14.86,-32.71,True
1.01,0.005,0.95,0.3,0.2,0.0,1.0,17.2,-44.46,True
1.01,0.005,0.95,0.3,0.2,0.25,0.75,16.77,-42.03,True
1.01,0.005,0.95,0.3,0.2,0.5,0.5,16.21,-39.48,True
1.01,0.005,0.95,0.3,0.2,0.75,0.25,15.53,-36.81,True
1.01,0.005,0.95,0.3,0.2,1.0,0.0,14.74,-34.0,True
1.01,0.005,0.95,0.3,0.3,0.0,1.0,16.68,-43.87,True
1.01,0.005,0.95,0.3,0.3,0.25,0.75,16.29,-41.88,True
1.01,0.005,0.95,0.3,0.3,0.5,0.5,15.8,-39.77,True
1.01,0.005,0.95,0.3,0.3,0.75,0.25,15.25,-37.53,True
1.01,0.005,0.95,0.3,0.3,1.0,0.0,14.6,-35.16,True
1.01,0.005,0.95,0.4,0.0,0.0,1.0,17.97,-46.06,True
1.01,0.005,0.95,0.4,0.0,0.25,0.75,17.39,-42.53,True
1.01,0.005,0.95,0.4,0.0,0.5,0.5,16.69,-38.9,True
1.01,0.005,0.95,0.4,0.0,0.75,0.25,15.84,-35.17,True
1.01,0.005,0.95,0.4,0.0,1.0,0.0,14.83,-31.34,True
1.01,0.005,0.95,0.4,0.1,0.0,1.0,17.38,-45.26,True
1.01,0.005,0.95,0.4,0.1,0.25,0.75,16.9,-42.32,True
1.01,0.005,0.95,0.4,0.1,0.5,0.5,16.3,-39.26,True
1.01,0.005,0.95,0.4,0.1,0.75,0.25,15.57,-36.08,True
1.01,0.005,0.95,0.4,0.1,1.0,0.0,14.69,-32.77,True
1.01,0.005,0.95,0.4,0.2,0.0,1.0,17.1,-44.59,True
1.01,0.005,0.95,0.4,0.2,0.25,0.75,16.64,-42.16,True
1.01,0.005,0.95,0.4,0.2,0.5,0.5,16.09,-39.6,True
1.01,0.005,0.95,0.4,0.2,0.75,0.25,15.43,-36.91,True
1.01,0.005,0.95,0.4,0.2,1.0,0.0,14.66,-34.08,True
