entry_signal,drop_level,exit_signal,buy_pct,alloc_base,alloc_x2,alloc_x3,cagr,worst_ann_ret,passed
1.01,0.005,0.95,0.1,0.0,0.0,1.0,17.05,-38.4,True
1.01,0.005,0.95,0.1,0.0,0.25,0.75,16.57,-35.86,True
1.01,0.005,0.95,0.1,0.0,0.5,0.5,16.0,-33.52,True
1.01,0.005,0.95,0.1,0.0,0.75,0.25,15.33,-30.58,True
1.01,0.005,0.95,0.1,0.0,1.0,0.0,14.56,-26.77,True
1.01,0.005,0.95,0.1,0.1,0.0,1.0,17.07,-39.04,True
1.01,0.005,0.95,0.1,0.1,0.25,0.75,16.63,-36.57,True
1.01,0.005,0.95,0.1,0.1,0.5,0.5,16.11,-34.0,True
1.01,0.005,0.95,0.1,0.1,0.75,0.25,15.51,-31.34,True
1.01,0.005,0.95,0.1,0.1,1.0,0.0,14.83,-28.58,True
1.01,0.005,0.95,0.1,0.2,0.0,1.0,17.07,-41.04,True
1.01,0.005,0.95,0.1,0.2,0.25,0.75,16.67,-38.71,True
1.01,0.005,0.95,0.1,0.2,0.5,0.5,16.21,-36.29,True
1.01,0.005,0.95,0.1,0.2,0.75,0.25,15.67,-33.79,True
1.01,0.005,0.95,0.1,0.2,1.0,0.0,15.06,-31.19,True
1.01,0.005,0.95,0.1,0.3,0.0,1.0,17.07,-43.04,True
1.01,0.005,0.95,0.1,0.3,0.25,0.75,16.69,-40.85,True
1.01,0.005,0.95,0.1,0.3,0.5,0.5,16.27,-38.58,True
1.01,0.005,0.95,0.1,0.3,0.75,0.25,15.78,-36.23,True
1.01,0.005,0.95,0.1,0.3,1.0,0.0,15.25,-33.8,True
1.01,0.005,0.95,0.2,0.0,0.0,1.0,18.36,-43.35,False
1.01,0.005,0.95,0.2,0.0,0.25,0.75,17.83,-40.28,False
1.01,0.005,0.95,0.2,0.0,0.5,0.5,17.2,-38.94,True
1.01,0.005,0.95,0.2,0.0,0.75,0.25,16.46,-35.58,True
1.01,0.005,0.95,0.2,0.0,1.0,0.0,15.61,-32.05,True
1.01,0.005,0.95,0.2,0.1,0.0,1.0,18.45,-45.4,True
1.01,0.005,0.95,0.2,0.1,0.25,0.75,17.92,-42.65,True
1.01,0.005,0.95,0.2,0.1,0.5,0.5,17.31,-39.76,True
1.01,0.005,0.95,0.2,0.1,0.75,0.25,16.61,-36.73,True
1.01,0.005,0.95,0.2,0.1,1.0,0.0,15.82,-33.53,True
1.01,0.005,0.95,0.2,0.2,0.0,1.0,18.35,-45.56,True
1.01,0.005,0.95,0.2,0.2,0.25,0.75,17.87,-43.09,True
1.01,0.005,0.95,0.2,0.2,0.5,0.5,17.3,-40.51,True
1.01,0.005,0.95,0.2,0.2,0.75,0.25,16.66,-37.8,True
1.01,0.005,0.95,0.2,0.2,1.0,0.0,15.95,-34.95,True
1.01,0.005,0.95,0.2,0.3,0.0,1.0,18.21,-45.66,True
1.01,0.005,0.95,0.2,0.3,0.25,0.75,17.76,-43.47,True
1.01,0.005,0.95,0.2,0.3,0.5,0.5,17.24,-41.17,True
1.01,0.005,0.95,0.2,0.3,0.75,0.25,16.66,-38.77,True
