entry_signal,drop_level,exit_signal,buy_pct,alloc_base,alloc_x2,alloc_x3,cagr,worst_ann_ret,passed
1.01,0.005,0.95,0.1,0.0,0.0,1.0,8.6,-38.4,True
1.01,0.005,0.95,0.1,0.0,0.25,0.75,8.68,-35.54,True
1.01,0.005,0.95,0.1,0.0,0.5,0.5,8.66,-32.53,True
1.01,0.005,0.95,0.1,0.0,0.75,0.25,8.54,-29.36,True
1.01,0.005,0.95,0.1,0.0,1.0,0.0,8.29,-26.01,True
1.01,0.005,0.95,0.1,0.1,0.0,1.0,8.55,-39.35,True
1.01,0.005,0.95,0.1,0.1,0.25,0.75,8.66,-36.89,True
1.01,0.005,0.95,0.1,0.1,0.5,0.5,8.68,-34.34,True
1.01,0.005,0.95,0.1,0.1,0.75,0.25,8.61,-31.69,True
1.01,0.005,0.95,0.1,0.1,1.0,0.0,8.42,-28.94,True
1.01,0.005,0.95,0.1,0.2,0.0,1.0,8.51,-41.58,True
1.01,0.005,0.95,0.1,0.2,0.25,0.75,8.64,-39.28,True
1.01,0.005,0.95,0.1,0.2,0.5,0.5,8.7,-36.89,True
1.01,0.005,0.95,0.1,0.2,0.75,0.25,8.66,-34.41,True
1.01,0.005,0.95,0.1,0.2,1.0,0.0,8.52,-31.83,True
1.01,0.005,0.95,0.1,0.3,0.0,1.0,8.98,-43.35,True
1.01,0.005,0.95,0.1,0.3,0.25,0.75,9.04,-41.34,True
1.01,0.005,0.95,0.1,0.3,0.5,0.5,9.03,-39.23,True
1.01,0.005,0.95,0.1,0.3,0.75,0.25,8.97,-36.94,True
1.01,0.005,0.95,0.1,0.3,1.0,0.0,8.82,-34.54,True
1.01,0.005,0.95,0.2,0.0,0.0,1.0,8.95,-43.35,False
1.01,0.005,0.95,0.2,0.0,0.25,0.75,9.07,-40.28,False
1.01,0.005,0.95,0.2,0.0,0.5,0.5,9.08,-38.94,True
1.01,0.005,0.95,0.2,0.0,0.75,0.25,8.98,-35.58,True
1.01,0.005,0.95,0.2,0.0,1.0,0.0,8.74,-32.05,True
1.01,0.005,0.95,0.2,0.1,0.0,1.0,9.68,-45.42,True
1.01,0.005,0.95,0.2,0.1,0.25,0.75,9.73,-42.69,True
1.01,0.005,0.95,0.2,0.1,0.5,0.5,9.68,-39.83,True
1.01,0.005,0.95,0.2,0.1,0.75,0.25,9.52,-36.82,True
1.01,0.005,0.95,0.2,0.1,1.0,0.0,9.25,-33.66,True
1.01,0.005,0.95,0.2,0.2,0.0,1.0,10.07,-45.57,True
1.01,0.005,0.95,0.2,0.2,0.25,0.75,10.09,-43.14,True
1.01,0.005,0.95,0.2,0.2,0.5,0.5,10.03,-40.59,True
1.01,0.005,0.95,0.2,0.2,0.75,0.25,9.88,-37.92,True
1.01,0.005,0.95,0.2,0.2,1.0,0.0,9.61,-35.11,True
1.01,0.005,0.95,0.2,0.3,0.0,1.0,10.38,-45.68,True
1.01,0.005,0.95,0.2,0.3,0.25,0.75,10.37,-43.53,True
1.01,0.005,0.95,0.2,0.3,0.5,0.5,10.29,-41.27,True
1.01,0.005,0.95,0.2,0.3,0.75,0.25,10.13,-38.91,True
1.01,0.005,0.95,0.2,0.3,1.0,0.0,9.87,-36.43,True
1.01,0.005,0.95,0.3,0.0,0.0,1.0,10.29,-42.91,False
1.01,0.005,0.95,0.3,0.0,0.25,0.75,10.32,-44.01,True
1.01,0.005,0.95,0.3,0.0,0.5,0.5,10.25,-40.76,True
1.01,0.005,0.95,0.3,0.0,0.75,0.25,10.05,-37.34,True
1.01,0.005,0.95,0.3,0.0,1.0,0.0,9.7,-33.75,True
1.01,0.005,0.95,0.3,0.1,0.0,1.0,10.59,-47.29,True
1.01,0.005,0.95,0.3,0.1,0.25,0.75,10.59,-44.49,True
1.01,0.005,0.95,0.3,0.1,0.5,0.5,10.5,-41.55,True
1.01,0.005,0.95,0.3,0.1,0.75,0.25,10.29,-38.45,True
1.01,0.005,0.95,0.3,0.1,1.0,0.0,9.95,-35.2,True
1.01,0.005,0.95,0.3,0.2,0.0,1.0,10.76,-47.38,True
1.01,0.005,0.95,0.3,0.2,0.25,0.75,10.74,-44.86,True
1.01,0.005,0.95,0.3,0.2,0.5,0.5,10.63,-42.21,True
1.01,0.005,0.95,0.3,0.2,0.75,0.25,10.42,-39.43,True
1.01,0.005,0.95,0.3,0.2,1.0,0.0,10.1,-36.51,True
1.01,0.005,0.95,0.3,0.3,0.0,1.0,10.87,-47.47,True
1.01,0.005,0.95,0.3,0.3,0.25,0.75,10.85,-45.22,True
1.01,0.005,0.95,0.3,0.3,0.5,0.5,10.74,-42.85,True
1.01,0.005,0.95,0.3,0.3,0.75,0.25,10.55,-40.37,True
1.01,0.005,0.95,0.3,0.3,1.0,0.0,10.25,-37.77,True
1.01,0.005,0.95,0.4,0.0,0.0,1.0,10.83,-42.62,False
1.01,0.005,0.95,0.4,0.0,0.25,0.75,10.83,-45.53,True
1.01,0.005,0.95,0.4,0.0,0.5,0.5,10.72,-42.23,True
1.01,0.005,0.95,0.4,0.0,0.75,0.25,10.48,-38.74,True
1.01,0.005,0.95,0.4,0.0,1.0,0.0,10.09,-35.07,True
1.01,0.005,0.95,0.4,0.1,0.0,1.0,11.0,-48.86,True
1.01,0.005,0.95,0.4,0.1,0.25,0.75,10.97,-46.0,True
1.01,0.005,0.95,0.4,0.1,0.5,0.5,10.85,-42.99,True
1.01,0.005,0.95,0.4,0.1,0.75,0.25,10.61,-39.81,True
1.01,0.005,0.95,0.4,0.1,1.0,0.0,10.24,-36.47,True
1.01,0.005,0.95,0.4,0.2,0.0,1.0,10.92,-49.06,True
1.01,0.005,0.95,0.4,0.2,0.25,0.75,10.92,-46.46,True
1.01,0.005,0.95,0.4,0.2,0.5,0.5,10.83,-43.72,True
1.01,0.005,0.95,0.4,0.2,0.75,0.25,10.63,-40.85,True
1.01,0.005,0.95,0.4,0.2,1.0,0.0,10.31,-37.82,True
1.01,0.005,0.95,0.4,0.3,0.0,1.0,10.67,-49.25,True
1.01,0.005,0.95,0.4,0.3,0.25,0.75,10.71,-46.9,True
1.01,0.005,0.95,0.4,0.3,0.5,0.5,10.65,-44.44,True
1.01,0.005,0.95,0.4,0.3,0.75,0.25,10.5,-41.86,True
1.01,0.005,0.95,0.4,0.3,1.0,0.0,10.23,-39.15,True
1.01,0.005,0.97,0.1,0.0,0.0,1.0,7.8,-31.94,True
1.01,0.005,0.97,0.1,0.0,0.25,0.75,7.89,-29.55,True
1.01,0.005,0.97,0.1,0.0,0.5,0.5,7.89,-27.08,True
1.01,0.005,0.97,0.1,0.0,0.75,0.25,7.77,-24.52,True
1.01,0.005,0.97,0.1,0.0,1.0,0.0,7.53,-21.87,True
1.01,0.005,0.97,0.1,0.1,0.0,1.0,7.87,-35.5,True
1.01,0.005,0.97,0.1,0.1,0.25,0.75,7.99,-33.21,True
1.01,0.005,0.97,0.1,0.1,0.5,0.5,8.03,-30.84,True
1.01,0.005,0.97,0.1,0.1,0.75,0.25,7.97,-28.39,True
1.01,0.005,0.97,0.1,0.1,1.0,0.0,7.78,-25.85,True
1.01,0.005,0.97,0.1,0.2,0.0,1.0,7.88,-38.58,True
1.01,0.005,0.97,0.1,0.2,0.25,0.75,8.03,-36.41,True
1.01,0.005,0.97,0.1,0.2,0.5,0.5,8.1,-34.16,True
1.01,0.005,0.97,0.1,0.2,0.75,0.25,8.08,-31.84,True
1.01,0.005,0.97,0.1,0.2,1.0,0.0,7.96,-29.45,True
1.01,0.005,0.97,0.1,0.3,0.0,1.0,8.32,-40.43,True
1.01,0.005,0.97,0.1,0.3,0.25,0.75,8.41,-38.62,True
1.01,0.005,0.97,0.1,0.3,0.5,0.5,8.44,-36.71,True
1.01,0.005,0.97,0.1,0.3,0.75,0.25,8.41,-34.7,True
1.01,0.005,0.97,0.1,0.3,1.0,0.0,8.29,-32.6,True
1.01,0.005,0.97,0.2,0.0,0.0,1.0,7.92,-40.34,True
1.01,0.005,0.97,0.2,0.0,0.25,0.75,8.06,-37.43,True
1.01,0.005,0.97,0.2,0.0,0.5,0.5,8.11,-34.41,True
1.01,0.005,0.97,0.2,0.0,0.75,0.25,8.03,-31.25,True
1.01,0.005,0.97,0.2,0.0,1.0,0.0,7.82,-27.96,True
1.01,0.005,0.97,0.2,0.1,0.0,1.0,8.92,-41.07,True
1.01,0.005,0.97,0.2,0.1,0.25,0.75,8.96,-38.52,True
1.01,0.005,0.97,0.2,0.1,0.5,0.5,8.92,-35.86,True
1.01,0.005,0.97,0.2,0.1,0.75,0.25,8.79,-33.07,True
1.01,0.005,0.97,0.2,0.1,1.0,0.0,8.54,-30.15,True
1.01,0.005,0.97,0.2,0.2,0.0,1.0,9.5,-41.63,True
1.01,0.005,0.97,0.2,0.2,0.25,0.75,9.52,-39.4,True
1.01,0.005,0.97,0.2,0.2,0.5,0.5,9.46,-37.06,True
1.01,0.005,0.97,0.2,0.2,0.75,0.25,9.32,-34.61,True
1.01,0.005,0.97,0.2,0.2,1.0,0.0,9.07,-32.04,True
1.01,0.005,0.97,0.2,0.3,0.0,1.0,9.94,-42.08,True
1.01,0.005,0.97,0.2,0.3,0.25,0.75,9.94,-40.14,True
1.01,0.005,0.97,0.2,0.3,0.5,0.5,9.86,-38.11,True
1.01,0.005,0.97,0.2,0.3,0.75,0.25,9.7,-35.97,True
1.01,0.005,0.97,0.2,0.3,1.0,0.0,9.46,-33.72,True
1.01,0.005,0.97,0.3,0.0,0.0,1.0,9.58,-41.88,True
1.01,0.005,0.97,0.3,0.0,0.25,0.75,9.61,-38.95,True
1.01,0.005,0.97,0.3,0.0,0.5,0.5,9.54,-35.88,True
1.01,0.005,0.97,0.3,0.0,0.75,0.25,9.35,-32.68,True
1.01,0.005,0.97,0.3,0.0,1.0,0.0,9.02,-29.32,True
1.01,0.005,0.97,0.3,0.1,0.0,1.0,9.93,-42.47,True
1.01,0.005,0.97,0.3,0.1,0.25,0.75,9.95,-39.86,True
1.01,0.005,0.97,0.3,0.1,0.5,0.5,9.87,-37.12,True
1.01,0.005,0.97,0.3,0.1,0.75,0.25,9.68,-34.26,True
1.01,0.005,0.97,0.3,0.1,1.0,0.0,9.37,-31.26,True
1.01,0.005,0.97,0.3,0.2,0.0,1.0,9.87,-42.93,True
1.01,0.005,0.97,0.3,0.2,0.25,0.75,9.9,-40.61,True
1.01,0.005,0.97,0.3,0.2,0.5,0.5,9.84,-38.19,True
1.01,0.005,0.97,0.3,0.2,0.75,0.25,9.69,-35.65,True
1.01,0.005,0.97,0.3,0.2,1.0,0.0,9.43,-32.99,True
1.01,0.005,0.97,0.3,0.3,0.0,1.0,9.75,-43.35,True
1.01,0.005,0.97,0.3,0.3,0.25,0.75,9.82,-41.32,True
1.01,0.005,0.97,0.3,0.3,0.5,0.5,9.8,-39.19,True
1.01,0.005,0.97,0.3,0.3,0.75,0.25,9.69,-36.96,True
1.01,0.005,0.97,0.3,0.3,1.0,0.0,9.49,-34.62,True
1.01,0.005,0.97,0.4,0.0,0.0,1.0,9.74,-43.07,True
1.01,0.005,0.97,0.4,0.0,0.25,0.75,9.77,-40.09,True
1.01,0.005,0.97,0.4,0.0,0.5,0.5,9.7,-36.97,True
1.01,0.005,0.97,0.4,0.0,0.75,0.25,9.5,-33.71,True
1.01,0.005,0.97,0.4,0.0,1.0,0.0,9.17,-30.29,True
1.01,0.005,0.97,0.4,0.1,0.0,1.0,9.66,-43.62,True
1.01,0.005,0.97,0.4,0.1,0.25,0.75,9.7,-40.95,True
1.01,0.005,0.97,0.4,0.1,0.5,0.5,9.66,-38.15,True
1.01,0.005,0.97,0.4,0.1,0.75,0.25,9.5,-35.22,True
1.01,0.005,0.97,0.4,0.1,1.0,0.0,9.22,-32.15,True
1.01,0.005,0.97,0.4,0.2,0.0,1.0,9.49,-44.14,True
1.01,0.005,0.97,0.4,0.2,0.25,0.75,9.57,-41.76,True
1.01,0.005,0.97,0.4,0.2,0.5,0.5,9.56,-39.27,True
1.01,0.005,0.97,0.4,0.2,0.75,0.25,9.46,-36.65,True
1.01,0.005,0.97,0.4,0.2,1.0,0.0,9.24,-33.91,True
1.01,0.005,0.97,0.4,0.3,0.0,1.0,9.41,-44.62,True
1.01,0.005,0.97,0.4,0.3,0.25,0.75,9.51,-42.52,True
1.01,0.005,0.97,0.4,0.3,0.5,0.5,9.53,-40.32,True
1.01,0.005,0.97,0.4,0.3,0.75,0.25,9.47,-38.01,True
1.01,0.005,0.97,0.4,0.3,1.0,0.0,9.31,-35.59,True
1.01,0.005,0.99,0.1,0.0,0.0,1.0,9.73,-24.64,True
1.01,0.005,0.99,0.1,0.0,0.25,0.75,9.57,-22.66,True
1.01,0.005,0.99,0.1,0.0,0.5,0.5,9.32,-20.6,True
1.01,0.005,0.99,0.1,0.0,0.75,0.25,8.96,-18.48,True
1.01,0.005,0.99,0.1,0.0,1.0,0.0,8.48,-16.29,True
1.01,0.005,0.99,0.1,0.1,0.0,1.0,9.61,-24.62,True
1.01,0.005,0.99,0.1,0.1,0.25,0.75,9.48,-23.15,True
1.01,0.005,0.99,0.1,0.1,0.5,0.5,9.28,-21.65,True
1.01,0.005,0.99,0.1,0.1,0.75,0.25,8.98,-20.1,True
1.01,0.005,0.99,0.1,0.1,1.0,0.0,8.58,-18.51,True
1.01,0.005,0.99,0.1,0.2,0.0,1.0,9.28,-28.56,True
1.01,0.005,0.99,0.1,0.2,0.25,0.75,9.26,-27.14,True
1.01,0.005,0.99,0.1,0.2,0.5,0.5,9.15,-25.68,True
1.01,0.005,0.99,0.1,0.2,0.75,0.25,8.95,-24.18,True
1.01,0.005,0.99,0.1,0.2,1.0,0.0,8.65,-22.65,True
1.01,0.005,0.99,0.1,0.3,0.0,1.0,9.21,-31.7,True
1.01,0.005,0.99,0.1,0.3,0.25,0.75,9.18,-30.45,True
1.01,0.005,0.99,0.1,0.3,0.5,0.5,9.1,-29.15,True
1.01,0.005,0.99,0.1,0.3,0.75,0.25,8.95,-27.8,True
1.01,0.005,0.99,0.1,0.3,1.0,0.0,8.71,-26.41,True
1.01,0.005,0.99,0.2,0.0,0.0,1.0,8.57,-34.93,True
1.01,0.005,0.99,0.2,0.0,0.25,0.75,8.57,-32.28,True
1.01,0.005,0.99,0.2,0.0,0.5,0.5,8.47,-29.52,True
1.01,0.005,0.99,0.2,0.0,0.75,0.25,8.26,-26.66,True
1.01,0.005,0.99,0.2,0.0,1.0,0.0,7.92,-23.68,True
1.01,0.005,0.99,0.2,0.1,0.0,1.0,9.11,-30.14,True
1.01,0.005,0.99,0.2,0.1,0.25,0.75,9.07,-27.9,True
1.01,0.005,0.99,0.2,0.1,0.5,0.5,8.95,-25.55,True
1.01,0.005,0.99,0.2,0.1,0.75,0.25,8.73,-23.28,True
1.01,0.005,0.99,0.2,0.1,1.0,0.0,8.4,-21.4,True
1.01,0.005,0.99,0.2,0.2,0.0,1.0,9.24,-31.08,True
1.01,0.005,0.99,0.2,0.2,0.25,0.75,9.23,-29.58,True
1.01,0.005,0.99,0.2,0.2,0.5,0.5,9.14,-28.01,True
1.01,0.005,0.99,0.2,0.2,0.75,0.25,8.97,-26.39,True
1.01,0.005,0.99,0.2,0.2,1.0,0.0,8.69,-24.7,True
1.01,0.005,0.99,0.2,0.3,0.0,1.0,9.3,-33.3,True
1.01,0.005,0.99,0.2,0.3,0.25,0.75,9.31,-31.98,True
1.01,0.005,0.99,0.2,0.3,0.5,0.5,9.25,-30.61,True
1.01,0.005,0.99,0.2,0.3,0.75,0.25,9.11,-29.18,True
1.01,0.005,0.99,0.2,0.3,1.0,0.0,8.89,-27.69,True
1.01,0.005,0.99,0.3,0.0,0.0,1.0,8.85,-34.1,True
1.01,0.005,0.99,0.3,0.0,0.25,0.75,8.85,-31.47,True
1.01,0.005,0.99,0.3,0.0,0.5,0.5,8.74,-28.74,True
1.01,0.005,0.99,0.3,0.0,0.75,0.25,8.53,-25.89,True
1.01,0.005,0.99,0.3,0.0,1.0,0.0,8.18,-22.93,True
1.01,0.005,0.99,0.3,0.1,0.0,1.0,8.9,-29.84,True
1.01,0.005,0.99,0.3,0.1,0.25,0.75,8.91,-28.09,True
1.01,0.005,0.99,0.3,0.1,0.5,0.5,8.84,-26.27,True
1.01,0.005,0.99,0.3,0.1,0.75,0.25,8.66,-24.39,True
1.01,0.005,0.99,0.3,0.1,1.0,0.0,8.37,-22.44,True
1.01,0.005,0.99,0.3,0.2,0.0,1.0,8.83,-32.21,True
1.01,0.005,0.99,0.3,0.2,0.25,0.75,8.88,-30.64,True
1.01,0.005,0.99,0.3,0.2,0.5,0.5,8.84,-29.01,True
1.01,0.005,0.99,0.3,0.2,0.75,0.25,8.72,-27.32,True
1.01,0.005,0.99,0.3,0.2,1.0,0.0,8.49,-25.56,True
1.01,0.005,0.99,0.3,0.3,0.0,1.0,8.63,-34.32,True
1.01,0.005,0.99,0.3,0.3,0.25,0.75,8.75,-32.94,True
1.01,0.005,0.99,0.3,0.3,0.5,0.5,8.79,-31.5,True
1.01,0.005,0.99,0.3,0.3,0.75,0.25,8.73,-29.99,True
1.01,0.005,0.99,0.3,0.3,1.0,0.0,8.58,-28.43,True
1.01,0.005,0.99,0.4,0.0,0.0,1.0,8.38,-34.05,True
1.01,0.005,0.99,0.4,0.0,0.25,0.75,8.42,-31.43,True
1.01,0.005,0.99,0.4,0.0,0.5,0.5,8.37,-28.7,True
1.01,0.005,0.99,0.4,0.0,0.75,0.25,8.2,-25.85,True
1.01,0.005,0.99,0.4,0.0,1.0,0.0,7.89,-22.88,True
1.01,0.005,0.99,0.4,0.1,0.0,1.0,8.28,-30.79,True
1.01,0.005,0.99,0.4,0.1,0.25,0.75,8.37,-28.97,True
1.01,0.005,0.99,0.4,0.1,0.5,0.5,8.36,-27.1,True
1.01,0.005,0.99,0.4,0.1,0.75,0.25,8.24,-25.15,True
