entry_signal,drop_level,exit_signal,buy_pct,alloc_base,alloc_x2,alloc_x3,cagr,worst_ann_ret,passed
1.01,0.005,0.95,0.1,0.0,0.0,1.0,17.46,-32.54,True
1.01,0.005,0.95,0.1,0.0,0.25,0.75,16.39,-30.67,True
1.01,0.005,0.95,0.1,0.0,0.5,0.5,15.26,-28.51,True
1.01,0.005,0.95,0.1,0.0,0.75,0.25,14.04,-26.0,True
1.01,0.005,0.95,0.1,0.0,1.0,0.0,12.72,-23.0,True
1.01,0.005,0.95,0.1,0.1,0.0,1.0,17.32,-32.44,True
1.01,0.005,0.95,0.1,0.1,0.25,0.75,16.28,-30.56,True
1.01,0.005,0.95,0.1,0.1,0.5,0.5,15.18,-28.42,True
1.01,0.005,0.95,0.1,0.1,0.75,0.25,14.01,-25.94,True
1.01,0.005,0.95,0.1,0.1,1.0,0.0,12.76,-23.02,True
1.01,0.005,0.95,0.1,0.2,0.0,1.0,17.01,-32.32,True
1.01,0.005,0.95,0.1,0.2,0.25,0.75,16.01,-30.44,True
1.01,0.005,0.95,0.1,0.2,0.5,0.5,14.95,-28.31,True
1.01,0.005,0.95,0.1,0.2,0.75,0.25,13.83,-25.87,True
1.01,0.005,0.95,0.1,0.2,1.0,0.0,12.67,-23.05,True
1.01,0.005,0.95,0.1,0.3,0.0,1.0,16.64,-32.17,True
1.01,0.005,0.95,0.1,0.3,0.25,0.75,15.68,-30.3,True
1.01,0.005,0.95,0.1,0.3,0.5,0.5,14.67,-28.19,True
1.01,0.005,0.95,0.1,0.3,0.75,0.25,13.62,-25.8,True
1.01,0.005,0.95,0.1,0.3,1.0,0.0,12.54,-23.09,True
1.01,0.005,0.95,0.2,0.0,0.0,1.0,18.71,-37.94,True
1.01,0.005,0.95,0.2,0.0,0.25,0.75,17.57,-35.76,True
1.01,0.005,0.95,0.2,0.0,0.5,0.5,16.35,-33.3,True
1.01,0.005,0.95,0.2,0.0,0.75,0.25,15.04,-30.47,True
1.01,0.005,0.95,0.2,0.0,1.0,0.0,13.64,-27.14,True
1.01,0.005,0.95,0.2,0.1,0.0,1.0,18.37,-37.87,True
1.01,0.005,0.95,0.2,0.1,0.25,0.75,17.26,-35.7,True
1.01,0.005,0.95,0.2,0.1,0.5,0.5,16.07,-33.25,True
1.01,0.005,0.95,0.2,0.1,0.75,0.25,14.81,-30.44,True
1.01,0.005,0.95,0.2,0.1,1.0,0.0,13.47,-27.19,True
1.01,0.005,0.95,0.2,0.2,0.0,1.0,17.98,-37.79,True
1.01,0.005,0.95,0.2,0.2,0.25,0.75,16.9,-35.62,True
1.01,0.005,0.95,0.2,0.2,0.5,0.5,15.75,-33.18,True
1.01,0.005,0.95,0.2,0.2,0.75,0.25,14.55,-30.41,True
1.01,0.005,0.95,0.2,0.2,1.0,0.0,13.28,-27.25,True
1.01,0.005,0.95,0.2,0.3,0.0,1.0,17.55,-37.7,True
1.01,0.005,0.95,0.2,0.3,0.25,0.75,16.5,-35.52,True
