entry_signal,drop_level,exit_signal,buy_pct,alloc_base,alloc_x2,alloc_x3,cagr,worst_ann_ret,passed
0.98,0.005,0.91,0.1,0.0,0.0,1.0,16.84,-52.51,False
0.98,0.005,0.91,0.1,0.0,0.25,0.75,15.94,-49.77,False
0.98,0.005,0.91,0.1,0.0,0.5,0.5,14.98,-46.56,False
0.98,0.005,0.91,0.1,0.0,0.75,0.25,13.95,-42.71,False
0.98,0.005,0.91,0.1,0.0,1.0,0.0,12.86,-37.99,True
0.98,0.005,0.91,0.1,0.1,0.0,1.0,16.71,-51.97,False
0.98,0.005,0.91,0.1,0.1,0.25,0.75,15.83,-49.19,False
0.98,0.005,0.91,0.1,0.1,0.5,0.5,14.9,-45.93,False
0.98,0.005,0.91,0.1,0.1,0.75,0.25,13.92,-42.06,False
0.98,0.005,0.91,0.1,0.1,1.0,0.0,12.87,-37.38,True
0.98,0.005,0.91,0.1,0.2,0.0,1.0,16.48,-51.36,False
0.98,0.005,0.91,0.1,0.2,0.25,0.75,15.63,-48.53,False
0.98,0.005,0.91,0.1,0.2,0.5,0.5,14.73,-45.24,False
0.98,0.005,0.91,0.1,0.2,0.75,0.25,13.8,-41.35,False
0.98,0.005,0.91,0.1,0.2,1.0,0.0,12.82,-36.72,True
0.98,0.005,0.91,0.1,0.3,0.0,1.0,16.22,-50.68,False
0.98,0.005,0.91,0.1,0.3,0.25,0.75,15.4,-47.8,False
0.98,0.005,0.91,0.1,0.3,0.5,0.5,14.55,-44.47,False
0.98,0.005,0.91,0.1,0.3,0.75,0.25,13.66,-40.57,False
0.98,0.005,0.91,0.1,0.3,1.0,0.0,12.74,-36.02,True
0.98,0.005,0.91,0.2,0.0,0.0,1.0,17.29,-59.15,False
0.98,0.005,0.91,0.2,0.0,0.25,0.75,16.4,-56.24,False
0.98,0.005,0.91,0.2,0.0,0.5,0.5,15.43,-52.84,False
0.98,0.005,0.91,0.2,0.0,0.75,0.25,14.4,-48.8,False
0.98,0.005,0.91,0.2,0.0,1.0,0.0,13.28,-43.9,False
0.98,0.005,0.91,0.2,0.1,0.0,1.0,16.69,-58.48,False
0.98,0.005,0.91,0.2,0.1,0.25,0.75,15.84,-55.49,False
0.98,0.005,0.91,0.2,0.1,0.5,0.5,14.94,-52.02,False
0.98,0.005,0.91,0.2,0.1,0.75,0.25,13.97,-47.93,False
0.98,0.005,0.91,0.2,0.1,1.0,0.0,12.93,-43.03,False
0.98,0.005,0.91,0.2,0.2,0.0,1.0,16.03,-57.6,False
0.98,0.005,0.91,0.2,0.2,0.25,0.75,15.23,-54.54,False
0.98,0.005,0.91,0.2,0.2,0.5,0.5,14.39,-51.01,False
0.98,0.005,0.91,0.2,0.2,0.75,0.25,13.5,-46.88,False
0.98,0.005,0.91,0.2,0.2,1.0,0.0,12.56,-42.0,False
0.98,0.005,0.91,0.2,0.3,0.0,1.0,15.43,-56.52,False
0.98,0.005,0.91,0.2,0.3,0.25,0.75,14.72,-53.4,False
0.98,0.005,0.91,0.2,0.3,0.5,0.5,13.96,-49.83,False
0.98,0.005,0.91,0.2,0.3,0.75,0.25,13.16,-45.73,False
0.98,0.005,0.91,0.2,0.3,1.0,0.0,12.32,-40.97,False
0.98,0.005,0.91,0.3,0.0,0.0,1.0,16.41,-63.17,False
0.98,0.005,0.91,0.3,0.0,0.25,0.75,15.62,-60.18,False
0.98,0.005,0.91,0.3,0.0,0.5,0.5,14.75,-56.7,False
0.98,0.005,0.91,0.3,0.0,0.75,0.25,13.8,-52.58,False
0.98,0.005,0.91,0.3,0.0,1.0,0.0,12.77,-47.59,False
0.98,0.005,0.91,0.3,0.1,0.0,1.0,15.97,-62.6,False
0.98,0.005,0.91,0.3,0.1,0.25,0.75,15.21,-59.56,False
0.98,0.005,0.91,0.3,0.1,0.5,0.5,14.39,-56.03,False
0.98,0.005,0.91,0.3,0.1,0.75,0.25,13.51,-51.88,False
0.98,0.005,0.91,0.3,0.1,1.0,0.0,12.55,-46.89,False
0.98,0.005,0.91,0.3,0.2,0.0,1.0,15.55,-61.93,False
0.98,0.005,0.91,0.3,0.2,0.25,0.75,14.83,-58.84,False
0.98,0.005,0.91,0.3,0.2,0.5,0.5,14.05,-55.26,False
0.98,0.005,0.91,0.3,0.2,0.75,0.25,13.22,-51.08,False
0.98,0.005,0.91,0.3,0.2,1.0,0.0,12.34,-46.11,False
0.98,0.005,0.91,0.3,0.3,0.0,1.0,15.08,-61.13,False
0.98,0.005,0.91,0.3,0.3,0.25,0.75,14.41,-57.99,False
0.98,0.005,0.91,0.3,0.3,0.5,0.5,13.69,-54.37,False
0.98,0.005,0.91,0.3,0.3,0.75,0.25,12.93,-50.18,False
0.98,0.005,0.91,0.3,0.3,1.0,0.0,12.12,-45.26,False
0.98,0.005,0.91,0.4,0.0,0.0,1.0,16.02,-67.45,False
0.98,0.005,0.91,0.4,0.0,0.25,0.75,15.27,-64.39,False
0.98,0.005,0.91,0.4,0.0,0.5,0.5,14.45,-60.84,False
0.98,0.005,0.91,0.4,0.0,0.75,0.25,13.55,-56.64,False
0.98,0.005,0.91,0.4,0.0,1.0,0.0,12.56,-51.54,False
0.98,0.005,0.91,0.4,0.1,0.0,1.0,15.61,-66.96,False
0.98,0.005,0.91,0.4,0.1,0.25,0.75,14.91,-63.85,False
0.98,0.005,0.91,0.4,0.1,0.5,0.5,14.13,-60.26,False
0.98,0.005,0.91,0.4,0.1,0.75,0.25,13.28,-56.02,False
0.98,0.005,0.91,0.4,0.1,1.0,0.0,12.35,-50.92,False
0.98,0.005,0.91,0.4,0.2,0.0,1.0,15.18,-66.38,False
0.98,0.005,0.91,0.4,0.2,0.25,0.75,14.51,-63.23,False
0.98,0.005,0.91,0.4,0.2,0.5,0.5,13.78,-59.59,False
0.98,0.005,0.91,0.4,0.2,0.75,0.25,12.99,-55.32,False
0.98,0.005,0.91,0.4,0.2,1.0,0.0,12.14,-50.23,False
0.98,0.005,0.91,0.4,0.3,0.0,1.0,14.75,-65.72,False
0.98,0.005,0.91,0.4,0.3,0.25,0.75,14.13,-62.52,False
0.98,0.005,0.91,0.4,0.3,0.5,0.5,13.44,-58.8,False
0.98,0.005,0.91,0.4,0.3,0.75,0.25,12.7,-54.48,False
0.98,0.005,0.91,0.4,0.3,1.0,0.0,11.93,-49.18,False
0.98,0.005,0.93,0.1,0.0,0.0,1.0,18.97,-49.8,False
0.98,0.005,0.93,0.1,0.0,0.25,0.75,17.88,-47.13,False
0.98,0.005,0.93,0.1,0.0,0.5,0.5,16.71,-44.09,False
0.98,0.005,0.93,0.1,0.0,0.75,0.25,15.46,-40.57,False
0.98,0.005,0.93,0.1,0.0,1.0,0.0,14.11,-36.4,True
0.98,0.005,0.93,0.1,0.1,0.0,1.0,18.73,-49.64,False
0.98,0.005,0.93,0.1,0.1,0.25,0.75,17.66,-46.96,False
0.98,0.005,0.93,0.1,0.1,0.5,0.5,16.52,-43.92,False
0.98,0.005,0.93,0.1,0.1,0.75,0.25,15.3,-40.43,False
0.98,0.005,0.93,0.1,0.1,1.0,0.0,14.01,-36.32,True
0.98,0.005,0.93,0.1,0.2,0.0,1.0,18.39,-49.45,False
0.98,0.005,0.93,0.1,0.2,0.25,0.75,17.35,-46.77,False
0.98,0.005,0.93,0.1,0.2,0.5,0.5,16.24,-43.73,False
0.98,0.005,0.93,0.1,0.2,0.75,0.25,15.07,-40.26,False
0.98,0.005,0.93,0.1,0.2,1.0,0.0,13.84,-36.24,True
0.98,0.005,0.93,0.1,0.3,0.0,1.0,18.01,-49.24,False
0.98,0.005,0.93,0.1,0.3,0.25,0.75,17.0,-46.55,False
0.98,0.005,0.93,0.1,0.3,0.5,0.5,15.94,-43.52,False
0.98,0.005,0.93,0.1,0.3,0.75,0.25,14.82,-40.08,False
0.98,0.005,0.93,0.1,0.3,1.0,0.0,13.64,-36.15,True
0.98,0.005,0.93,0.2,0.0,0.0,1.0,19.33,-59.62,False
0.98,0.005,0.93,0.2,0.0,0.25,0.75,18.26,-56.62,False
0.98,0.005,0.93,0.2,0.0,0.5,0.5,17.1,-53.24,False
0.98,0.005,0.93,0.2,0.0,0.75,0.25,15.85,-49.35,False
0.98,0.005,0.93,0.2,0.0,1.0,0.0,14.49,-44.78,False
0.98,0.005,0.93,0.2,0.1,0.0,1.0,18.75,-59.08,False
0.98,0.005,0.93,0.2,0.1,0.25,0.75,17.71,-56.01,False
0.98,0.005,0.93,0.2,0.1,0.5,0.5,16.6,-52.55,False
0.98,0.005,0.93,0.2,0.1,0.75,0.25,15.4,-48.59,False
0.98,0.005,0.93,0.2,0.1,1.0,0.0,14.12,-43.97,False
0.98,0.005,0.93,0.2,0.2,0.0,1.0,18.1,-58.38,False
0.98,0.005,0.93,0.2,0.2,0.25,0.75,17.11,-55.24,False
0.98,0.005,0.93,0.2,0.2,0.5,0.5,16.05,-51.7,False
0.98,0.005,0.93,0.2,0.2,0.75,0.25,14.92,-47.67,False
0.98,0.005,0.93,0.2,0.2,1.0,0.0,13.72,-43.03,False
0.98,0.005,0.93,0.2,0.3,0.0,1.0,17.44,-57.5,False
0.98,0.005,0.93,0.2,0.3,0.25,0.75,16.52,-54.29,False
0.98,0.005,0.93,0.2,0.3,0.5,0.5,15.54,-50.68,False
0.98,0.005,0.93,0.2,0.3,0.75,0.25,14.5,-46.61,False
0.98,0.005,0.93,0.2,0.3,1.0,0.0,13.39,-41.99,False
0.98,0.005,0.93,0.3,0.0,0.0,1.0,18.67,-63.23,False
0.98,0.005,0.93,0.3,0.0,0.25,0.75,17.68,-60.16,False
0.98,0.005,0.93,0.3,0.0,0.5,0.5,16.59,-56.7,False
0.98,0.005,0.93,0.3,0.0,0.75,0.25,15.41,-52.72,False
0.98,0.005,0.93,0.3,0.0,1.0,0.0,14.12,-48.05,False
0.98,0.005,0.93,0.3,0.1,0.0,1.0,18.18,-62.73,False
0.98,0.005,0.93,0.3,0.1,0.25,0.75,17.22,-59.61,False
0.98,0.005,0.93,0.3,0.1,0.5,0.5,16.17,-56.08,False
0.98,0.005,0.93,0.3,0.1,0.75,0.25,15.04,-52.04,False
0.98,0.005,0.93,0.3,0.1,1.0,0.0,13.82,-47.33,False
0.98,0.005,0.93,0.3,0.2,0.0,1.0,17.66,-62.14,False
0.98,0.005,0.93,0.3,0.2,0.25,0.75,16.74,-58.96,False
0.98,0.005,0.93,0.3,0.2,0.5,0.5,15.74,-55.37,False
0.98,0.005,0.93,0.3,0.2,0.75,0.25,14.67,-51.26,False
0.98,0.005,0.93,0.3,0.2,1.0,0.0,13.52,-46.51,False
0.98,0.005,0.93,0.3,0.3,0.0,1.0,17.12,-61.42,False
0.98,0.005,0.93,0.3,0.3,0.25,0.75,16.24,-58.16,False
0.98,0.005,0.93,0.3,0.3,0.5,0.5,15.29,-54.5,False
0.98,0.005,0.93,0.3,0.3,0.75,0.25,14.28,-50.35,False
0.98,0.005,0.93,0.3,0.3,1.0,0.0,13.21,-45.59,False
0.98,0.005,0.93,0.4,0.0,0.0,1.0,18.36,-66.8,False
0.98,0.005,0.93,0.4,0.0,0.25,0.75,17.41,-63.69,False
0.98,0.005,0.93,0.4,0.0,0.5,0.5,16.36,-60.16,False
0.98,0.005,0.93,0.4,0.0,0.75,0.25,15.21,-56.1,False
0.98,0.005,0.93,0.4,0.0,1.0,0.0,13.95,-51.32,False
0.98,0.005,0.93,0.4,0.1,0.0,1.0,17.89,-66.36,False
0.98,0.005,0.93,0.4,0.1,0.25,0.75,16.97,-63.19,False
0.98,0.005,0.93,0.4,0.1,0.5,0.5,15.97,-59.6,False
0.98,0.005,0.93,0.4,0.1,0.75,0.25,14.87,-55.48,False
0.98,0.005,0.93,0.4,0.1,1.0,0.0,13.67,-50.65,False
0.98,0.005,0.93,0.4,0.2,0.0,1.0,17.38,-65.83,False
0.98,0.005,0.93,0.4,0.2,0.25,0.75,16.5,-62.61,False
0.98,0.005,0.93,0.4,0.2,0.5,0.5,15.54,-58.95,False
0.98,0.005,0.93,0.4,0.2,0.75,0.25,14.5,-54.77,False
0.98,0.005,0.93,0.4,0.2,1.0,0.0,13.37,-49.91,False
0.98,0.005,0.93,0.4,0.3,0.0,1.0,16.82,-65.2,False
0.98,0.005,0.93,0.4,0.3,0.25,0.75,15.99,-61.91,False
0.98,0.005,0.93,0.4,0.3,0.5,0.5,15.09,-58.2,False
0.98,0.005,0.93,0.4,0.3,0.75,0.25,14.11,-53.96,False
0.98,0.005,0.93,0.4,0.3,1.0,0.0,13.06,-49.02,False
0.98,0.005,0.94,0.1,0.0,0.0,1.0,17.02,-49.8,False
0.98,0.005,0.94,0.1,0.0,0.25,0.75,16.04,-47.13,False
0.98,0.005,0.94,0.1,0.0,0.5,0.5,14.99,-44.09,False
