entry_signal,drop_level,exit_signal,buy_pct,alloc_base,alloc_x2,alloc_x3,cagr,worst_ann_ret,passed
1.01,0.005,0.95,0.1,0.0,0.0,1.0,20.04,-38.89,True
1.01,0.005,0.95,0.1,0.0,0.25,0.75,18.82,-36.68,True
1.01,0.005,0.95,0.1,0.0,0.5,0.5,17.54,-34.11,True
1.01,0.005,0.95,0.1,0.0,0.75,0.25,16.19,-31.08,True
1.01,0.005,0.95,0.1,0.0,1.0,0.0,14.77,-27.44,True
1.01,0.005,0.95,0.1,0.1,0.0,1.0,19.75,-38.63,True
1.01,0.005,0.95,0.1,0.1,0.25,0.75,18.56,-36.4,True
1.01,0.005,0.95,0.1,0.1,0.5,0.5,17.31,-33.83,True
1.01,0.005,0.95,0.1,0.1,0.75,0.25,16.0,-30.81,True
1.01,0.005,0.95,0.1,0.1,1.0,0.0,14.64,-27.24,True
1.01,0.005,0.95,0.1,0.2,0.0,1.0,19.41,-38.34,True
1.01,0.005,0.95,0.1,0.2,0.25,0.75,18.24,-36.09,True
1.01,0.005,0.95,0.1,0.2,0.5,0.5,17.02,-33.51,True
1.01,0.005,0.95,0.1,0.2,0.75,0.25,15.76,-30.51,True
1.01,0.005,0.95,0.1,0.2,1.0,0.0,14.45,-27.02,True
1.01,0.005,0.95,0.1,0.3,0.0,1.0,19.0,-38.0,True
1.01,0.005,0.95,0.1,0.3,0.25,0.75,17.86,-35.73,True
1.01,0.005,0.95,0.1,0.3,0.5,0.5,16.68,-33.14,True
1.01,0.005,0.95,0.1,0.3,0.75,0.25,15.47,-30.17,True
1.01,0.005,0.95,0.1,0.3,1.0,0.0,14.24,-26.78,True
1.01,0.005,0.95,0.2,0.0,0.0,1.0,21.11,-43.53,False
1.01,0.005,0.95,0.2,0.0,0.25,0.75,19.83,-41.1,False
1.01,0.005,0.95,0.2,0.0,0.5,0.5,18.49,-38.31,True
1.01,0.005,0.95,0.2,0.0,0.75,0.25,17.06,-35.04,True
1.01,0.005,0.95,0.2,0.0,1.0,0.0,15.54,-31.15,True
1.01,0.005,0.95,0.2,0.1,0.0,1.0,20.68,-43.36,False
1.01,0.005,0.95,0.2,0.1,0.25,0.75,19.42,-40.91,False
1.01,0.005,0.95,0.2,0.1,0.5,0.5,18.11,-38.1,True
1.01,0.005,0.95,0.2,0.1,0.75,0.25,16.72,-34.85,True
1.01,0.005,0.95,0.2,0.1,1.0,0.0,15.26,-31.01,True
1.01,0.005,0.95,0.2,0.2,0.0,1.0,20.18,-43.15,False
1.01,0.005,0.95,0.2,0.2,0.25,0.75,18.95,-40.68,False
1.01,0.005,0.95,0.2,0.2,0.5,0.5,17.67,-37.86,True
1.01,0.005,0.95,0.2,0.2,0.75,0.25,16.34,-34.62,True
1.01,0.005,0.95,0.2,0.2,1.0,0.0,14.94,-30.86,True
1.01,0.005,0.95,0.2,0.3,0.0,1.0,19.62,-42.89,False
1.01,0.005,0.95,0.2,0.3,0.25,0.75,18.43,-40.4,False
1.01,0.005,0.95,0.2,0.3,0.5,0.5,17.2,-37.58,True
1.01,0.005,0.95,0.2,0.3,0.75,0.25,15.92,-34.36,True
1.01,0.005,0.95,0.2,0.3,1.0,0.0,14.6,-30.69,True
1.01,0.005,0.95,0.3,0.0,0.0,1.0,20.85,-48.15,False
1.01,0.005,0.95,0.3,0.0,0.25,0.75,19.62,-45.48,False
1.01,0.005,0.95,0.3,0.0,0.5,0.5,18.31,-42.45,False
1.01,0.005,0.95,0.3,0.0,0.75,0.25,16.91,-38.96,True
1.01,0.005,0.95,0.3,0.0,1.0,0.0,15.42,-34.85,True
