entry_signal,drop_level,exit_signal,buy_pct,alloc_base,alloc_x2,alloc_x3,cagr,worst_ann_ret,passed
1.01,0.005,0.95,0.1,0.0,0.0,1.0,22.91,-17.32,True
1.01,0.005,0.95,0.1,0.0,0.25,0.75,21.39,-15.76,True
1.01,0.005,0.95,0.1,0.0,0.5,0.5,19.77,-14.15,True
1.01,0.005,0.95,0.1,0.0,0.75,0.25,18.04,-12.47,True
1.01,0.005,0.95,0.1,0.0,1.0,0.0,16.17,-10.73,True
1.01,0.005,0.95,0.1,0.1,0.0,1.0,22.41,-16.39,True
1.01,0.005,0.95,0.1,0.1,0.25,0.75,20.93,-14.85,True
1.01,0.005,0.95,0.1,0.1,0.5,0.5,19.35,-13.27,True
1.01,0.005,0.95,0.1,0.1,0.75,0.25,17.68,-11.64,True
1.01,0.005,0.95,0.1,0.1,1.0,0.0,15.89,-10.5,True
1.01,0.005,0.95,0.1,0.2,0.0,1.0,21.81,-15.45,True
1.01,0.005,0.95,0.1,0.2,0.25,0.75,20.36,-14.77,True
1.01,0.005,0.95,0.1,0.2,0.5,0.5,18.83,-14.19,True
1.01,0.005,0.95,0.1,0.2,0.75,0.25,17.22,-13.53,True
1.01,0.005,0.95,0.1,0.2,1.0,0.0,15.5,-12.78,True
1.01,0.005,0.95,0.1,0.3,0.0,1.0,21.1,-16.89,True
1.01,0.005,0.95,0.1,0.3,0.25,0.75,19.7,-16.53,True
1.01,0.005,0.95,0.1,0.3,0.5,0.5,18.23,-16.11,True
1.01,0.005,0.95,0.1,0.3,0.75,0.25,16.69,-15.65,True
1.01,0.005,0.95,0.1,0.3,1.0,0.0,15.07,-15.11,True
1.01,0.005,0.95,0.2,0.0,0.0,1.0,25.73,-17.03,True
1.01,0.005,0.95,0.2,0.0,0.25,0.75,23.99,-15.52,True
1.01,0.005,0.95,0.2,0.0,0.5,0.5,22.15,-13.95,True
1.01,0.005,0.95,0.2,0.0,0.75,0.25,20.17,-12.32,True
1.01,0.005,0.95,0.2,0.0,1.0,0.0,18.04,-10.61,True
1.01,0.005,0.95,0.2,0.1,0.0,1.0,24.96,-16.41,True
1.01,0.005,0.95,0.2,0.1,0.25,0.75,23.26,-14.9,True
1.01,0.005,0.95,0.2,0.1,0.5,0.5,21.47,-13.33,True
1.01,0.005,0.95,0.2,0.1,0.75,0.25,19.55,-11.7,True
1.01,0.005,0.95,0.2,0.1,1.0,0.0,17.51,-10.37,True
1.01,0.005,0.95,0.2,0.2,0.0,1.0,24.06,-15.68,True
