Year,IWM Ret %,IWM Value,Strategy Ret %,Strategy Value
2003,43.93,14393.43,121.96,22196.07
2004,18.05,16991.95,-13.32,19240.62
2005,4.46,17750.26,-3.13,18638.63
2006,18.27,20993.73,34.94,25151.49
2007,-1.79,20618.0,-16.81,20923.81
2008,-34.14,13578.86,1.35,21205.98
2009,28.49,17447.01,83.67,38949.69
2010,26.92,22143.47,15.02,44801.44
2011,-4.43,21163.23,-25.39,33427.55
2012,16.7,24698.29,19.54,39959.53
2013,38.7,34255.69,146.49,98496.62
2014,5.04,35980.91,-21.53,77293.75
2015,-4.48,34369.36,-27.9,55725.73
2016,21.59,41790.17,36.7,76176.95
2017,14.58,47884.24,39.15,105997.38
2018,-11.12,42558.92,-8.08,97433.84
2019,25.39,53364.51,2.06,99444.88
2020,20.03,64053.85,100.23,199115.79
2021,14.54,73364.74,27.88,254622.0
2022,-20.48,58336.13,-17.76,209402.53
2023,16.83,68152.73,-16.7,174438.26
2024,11.38,75911.38,7.21,187008.3
2025,12.66,85519.94,-13.85,161100.33
2026,18.19,101072.58,49.36,240627.23
