Year,IWM Ret %,IWM Value,Strategy Ret %,Strategy Value
2003,43.93,14393.43,82.98,18298.13
2004,18.05,16991.95,-17.13,15162.91
2005,4.46,17750.27,5.84,16048.74
2006,18.27,20993.73,33.19,21374.87
2007,-1.79,20618.0,-16.51,17846.05
2008,-34.14,13578.86,-3.76,17175.82
2009,28.49,17447.0,33.88,22994.94
2010,26.92,22143.46,10.98,25520.88
2011,-4.43,21163.23,-23.66,19483.11
2012,16.7,24698.28,13.18,22051.8
2013,38.7,34255.69,135.0,51820.77
2014,5.04,35980.92,-19.86,41530.68
2015,-4.48,34369.35,-18.21,33966.99
2016,21.59,41790.15,35.05,45872.38
2017,14.58,47884.22,37.02,62852.29
2018,-11.12,42558.9,-8.66,57409.32
2019,25.39,53364.5,1.79,58438.16
2020,20.03,64053.83,87.64,109653.49
2021,14.54,73364.74,27.13,139407.24
2022,-20.48,58336.11,-19.43,112320.06
2023,16.83,68152.72,2.76,115421.68
2024,11.38,75911.36,11.58,128784.15
2025,12.66,85519.93,-17.26,106556.41
2026,18.19,101079.52,48.4,158133.09
