Year,QQQ Ret %,QQQ Value,Strategy Ret %,Strategy Value
2003,43.6,14359.94,112.43,21242.99
2004,10.54,15873.27,-16.46,17745.9
2005,1.57,16121.76,-32.43,11990.32
2006,7.14,17273.5,8.49,13007.88
2007,19.03,20560.32,21.74,15835.42
2008,-41.73,11981.08,-31.33,10874.22
2009,54.68,18532.82,84.37,20048.88
2010,20.14,22266.04,0.24,20097.52
2011,3.48,23039.96,-33.83,13298.47
2012,18.11,27213.07,39.35,18531.95
2013,36.63,37182.36,119.32,40644.72
2014,19.18,44314.47,41.22,57396.85
2015,9.44,48495.93,4.08,59739.79
2016,7.1,51938.14,-3.55,57621.32
2017,32.66,68902.96,118.06,125650.09
2018,-0.13,68816.0,13.7,142859.67
2019,38.96,95627.78,35.92,194176.6
2020,48.41,141917.44,103.21,394593.26
2021,27.42,180830.85,82.98,722031.72
2022,-32.58,121921.59,-22.6,558855.13
2023,54.86,188802.39,65.61,925533.97
2024,25.58,237094.76,58.27,1464821.51
2025,20.77,286345.37,36.3,1996579.77
2026,13.06,323754.1,14.57,2287566.2
