Year,QQQ Ret %,QQQ Value,Strategy Ret %,Strategy Value
2003,43.6,14359.95,103.49,20349.11
2004,10.54,15873.26,-29.92,14260.63
2005,1.57,16121.76,-41.87,8289.48
2006,7.14,17273.51,5.42,8738.85
2007,19.03,20560.32,14.2,9980.05
2008,-41.73,11981.08,-18.37,8146.74
2009,54.68,18532.83,95.83,15953.94
2010,20.14,22266.04,14.42,18254.78
2011,3.48,23039.95,-12.69,15937.35
2012,18.11,27213.07,5.11,16751.61
2013,36.63,37182.35,107.4,34742.13
2014,19.18,44314.46,20.65,41917.04
2015,9.44,48495.93,-5.77,39496.76
2016,7.1,51938.12,-6.35,36988.24
2017,32.66,68902.96,117.96,80619.75
2018,-0.13,68816.0,21.22,97726.48
2019,38.96,95627.77,13.14,110564.54
2020,48.41,141917.44,103.56,225061.86
2021,27.42,180830.84,82.98,411815.9
2022,-32.58,121921.53,-21.05,325130.33
2023,54.86,188802.38,49.29,485379.46
2024,25.58,237094.74,58.05,767153.71
2025,20.77,286345.37,37.68,1056197.26
2026,13.06,323754.1,-17.49,871518.84
