Year,QQQ Ret %,QQQ Value,Strategy Ret %,Strategy Value
2003,43.6,14359.94,95.77,19577.31
2004,10.54,15873.26,-16.23,16399.91
2005,1.57,16121.74,-34.86,10682.37
2006,7.14,17273.5,4.46,11158.55
2007,19.03,20560.3,20.43,13438.65
2008,-41.73,11981.07,-16.42,11232.65
2009,54.68,18532.81,104.53,22973.62
2010,20.14,22266.02,19.63,27483.95
2011,3.48,23039.94,-15.43,23243.7
2012,18.11,27213.06,25.45,29158.51
2013,36.63,37182.35,112.75,62033.32
2014,19.18,44314.44,37.34,85193.84
2015,9.44,48495.91,1.59,86548.96
2016,7.1,51938.09,10.6,95720.25
2017,32.66,68902.93,118.06,208729.26
2018,-0.13,68815.98,20.61,251748.11
2019,38.96,95627.72,24.96,314575.81
2020,48.41,141917.36,107.25,651965.04
2021,27.42,180830.77,82.98,1192974.41
2022,-32.58,121921.53,-22.6,923366.07
2023,54.86,188802.29,79.31,1655652.1
2024,25.58,237094.62,58.27,2620362.67
2025,20.77,286345.21,31.54,3446883.94
2026,17.57,336658.54,16.42,4012813.82
