Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2003,24.18,12418.43,81.75,18174.92
2004,10.7,13746.94,24.68,22660.55
2005,4.83,14410.68,7.08,24264.92
2006,15.85,16694.09,44.99,35180.82
2007,5.15,17553.2,-28.45,25170.54
2008,-36.79,11094.5,-14.69,21474.04
2009,26.35,14018.1,60.04,34367.33
2010,15.06,16128.68,16.77,40130.82
2011,1.9,16434.32,-14.62,34265.23
2012,15.99,19062.22,27.37,43645.2
2013,32.31,25220.8,118.49,95362.01
2014,13.46,28616.47,38.01,131607.68
2015,1.23,28969.68,-18.79,106884.25
2016,12.0,32445.43,3.47,110597.55
2017,21.71,39487.86,71.37,189535.91
2018,-4.57,37683.66,-20.63,150429.27
2019,31.22,49449.96,49.58,225009.22
2020,18.33,58514.92,22.74,276169.75
2021,28.73,75325.54,98.64,548581.61
2022,-18.18,61634.85,-48.96,280007.44
2023,26.18,77768.26,28.23,359066.42
2024,24.89,97122.03,63.57,587314.37
2025,17.72,114331.14,25.19,735241.75
2026,6.67,121958.22,-6.8,685225.23
