Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2003,24.18,12418.43,70.75,17074.66
2004,10.7,13746.95,24.68,21289.21
2005,4.83,14410.68,7.08,22796.56
2006,15.85,16694.09,44.99,33052.66
2007,5.15,17553.2,-0.96,32736.34
2008,-36.8,11094.5,-14.86,27872.63
2009,26.35,14018.11,71.4,47774.99
2010,15.06,16128.69,-3.57,46069.62
2011,1.89,16434.32,-14.79,39256.63
2012,15.99,19062.23,26.55,49680.01
2013,32.31,25220.81,118.51,108554.73
2014,13.46,28616.49,38.01,149817.03
2015,1.23,28969.7,-22.79,115678.69
2016,12.0,32445.47,28.83,149028.56
2017,21.71,39487.87,71.38,255411.07
2018,-4.57,37683.67,-15.47,215902.85
2019,31.22,49449.97,41.94,306442.71
2020,18.33,58514.96,-7.66,282967.37
2021,28.73,75325.59,98.65,562125.83
2022,-18.18,61634.88,-38.53,345517.48
2023,26.18,77768.3,41.22,487933.12
2024,24.89,97122.07,63.57,798135.72
2025,17.72,114331.2,3.97,829795.37
2026,8.69,124268.23,20.98,1003887.66
