Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2003,24.18,12418.43,73.86,17386.47
2004,10.7,13746.94,24.68,21677.51
2005,4.83,14410.68,7.08,23212.27
2006,15.85,16694.08,44.99,33654.6
2007,5.15,17553.21,-27.6,24366.89
2008,-36.8,11094.5,1.35,24695.5
2009,26.35,14018.1,69.15,41771.95
2010,15.06,16128.68,10.46,46140.78
2011,1.89,16434.32,-14.61,39398.19
2012,15.99,19062.22,18.51,46691.87
2013,32.31,25220.8,118.49,102018.79
2014,13.46,28616.48,38.01,140794.59
2015,1.23,28969.69,-12.53,123148.31
2016,12.0,32445.44,30.69,160948.55
2017,21.71,39487.86,71.37,275824.56
2018,-4.57,37683.66,-7.64,254743.67
2019,31.22,49449.95,45.72,371209.63
2020,18.33,58514.93,21.34,450411.92
2021,28.73,75325.55,98.64,894695.01
2022,-18.18,61634.86,-30.42,622509.25
2023,26.18,77768.26,12.81,702281.14
2024,24.89,97122.03,63.57,1148700.44
2025,17.72,114331.15,22.86,1411264.56
2026,6.67,121958.23,-22.13,1098890.51
