Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2003,24.18,12418.42,73.99,17398.9
2004,10.7,13746.93,24.68,21693.04
2005,4.83,14410.67,7.08,23228.88
2006,15.85,16694.08,44.99,33678.71
2007,5.15,17553.19,-26.4,24788.12
2008,-36.8,11094.49,-9.55,22421.42
2009,26.35,14018.09,66.14,37249.97
2010,15.06,16128.68,16.04,43226.61
2011,1.89,16434.31,-17.62,35608.75
2012,15.99,19062.21,21.35,43210.86
2013,32.31,25220.79,118.49,94412.97
2014,13.46,28616.47,38.01,130297.91
2015,1.23,28969.68,-12.56,113932.81
2016,12.0,32445.42,13.82,129680.16
2017,21.71,39487.84,71.37,222238.62
2018,-4.57,37683.64,-8.02,204404.42
2019,31.22,49449.93,31.62,269037.81
2020,18.33,58514.91,17.84,317037.77
2021,28.73,75325.5,96.02,621465.25
2022,-18.18,61634.82,-37.91,385839.5
2023,26.18,77768.23,10.96,428143.48
2024,24.89,97121.98,63.57,700301.69
2025,17.72,114331.09,23.59,865516.07
2026,8.48,124031.07,-21.99,675152.02
