entry_signal,drop_level,exit_signal,buy_pct,alloc_base,alloc_x2,alloc_x3,cagr,worst_ann_ret,max_dd,passed,calmar
1.01,-0.01,0.93,0.1,0.0,0.0,1.0,7.6884,-45.7261,-84.1136,True,0.0914
1.01,-0.01,0.93,0.1,0.0,0.25,0.75,8.0149,-42.4097,-80.4641,True,0.0996
1.01,-0.01,0.93,0.1,0.0,0.5,0.5,8.2532,-38.984,-76.0383,True,0.1085
1.01,-0.01,0.93,0.1,0.0,0.75,0.25,8.4019,-35.444,-70.649,True,0.1189
1.01,-0.01,0.93,0.1,0.0,1.0,0.0,8.4591,-31.7845,-64.0524,True,0.1321
1.01,-0.01,0.93,0.1,0.1,0.0,1.0,8.1384,-40.5771,-80.5867,True,0.101
1.01,-0.01,0.93,0.1,0.1,0.25,0.75,8.4078,-37.636,-76.8755,True,0.1094
1.01,-0.01,0.93,0.1,0.1,0.5,0.5,8.6056,-34.5901,-72.4231,True,0.1188
1.01,-0.01,0.93,0.1,0.1,0.75,0.25,8.7282,-31.4375,-67.0691,True,0.1301
1.01,-0.01,0.93,0.1,0.1,1.0,0.0,8.7736,-28.1766,-60.9759,True,0.1439
1.01,-0.01,0.93,0.1,0.2,0.0,1.0,8.688,-37.3532,-76.4801,True,0.1136
1.01,-0.01,0.93,0.1,0.2,0.25,0.75,8.8717,-34.9158,-72.7893,True,0.1219
1.01,-0.01,0.93,0.1,0.2,0.5,0.5,9.0035,-32.3984,-68.4108,True,0.1316
1.01,-0.01,0.93,0.1,0.2,0.75,0.25,9.0794,-29.8201,-63.3351,True,0.1434
1.01,-0.01,0.93,0.1,0.2,1.0,0.0,9.0982,-27.1874,-58.7645,True,0.1548
1.01,-0.01,0.93,0.1,0.3,0.0,1.0,9.0981,-37.0617,-72.1512,True,0.1261
1.01,-0.01,0.93,0.1,0.3,0.25,0.75,9.2444,-35.0485,-68.3237,True,0.1353
1.01,-0.01,0.93,0.1,0.3,0.5,0.5,9.3431,-32.9469,-64.0851,True,0.1458
1.01,-0.01,0.93,0.1,0.3,0.75,0.25,9.3952,-30.7681,-60.4262,True,0.1555
1.01,-0.01,0.93,0.1,0.3,1.0,0.0,9.3948,-28.5228,-56.2948,True,0.1669
1.01,-0.01,0.93,0.2,0.0,0.0,1.0,8.0635,-41.0991,-84.9252,False,0.0949
1.01,-0.01,0.93,0.2,0.0,0.25,0.75,8.3856,-40.7707,-81.3424,True,0.1031
