LEADERBOARD — IWM exit MA100, grid v3, 2003-01-02 -> 2026-06-11
Filter: annual return >= -40% from 2009 onward

 entry_signal  drop_level  exit_signal  buy_pct  alloc_base  alloc_x2  alloc_x3    cagr  worst_ann_ret  passed
         1.02       0.015         0.94      1.0         0.0      0.00      1.00 12.5642       -34.2782    True
         1.02       0.015         0.94      1.0         0.1      0.00      1.00 12.3686       -32.0574    True
         1.02       0.015         0.94      0.9         0.1      0.00      1.00 12.3183       -32.3706    True
         1.02       0.015         0.94      1.0         0.0      0.25      0.75 12.2260       -31.5050    True
         1.02       0.015         0.94      1.0         0.2      0.00      1.00 12.1651       -29.5358    True
         1.02       0.015         0.94      0.9         0.2      0.00      1.00 12.1645       -29.5439    True
         1.02       0.015         0.94      0.8         0.2      0.00      1.00 12.0729       -30.1036    True
         1.02       0.015         0.94      1.0         0.1      0.25      0.75 12.0528       -29.2005    True
         1.02       0.015         0.94      0.9         0.1      0.25      0.75 12.0127       -29.4750    True
         1.02       0.015         0.94      0.9         0.3      0.00      1.00 11.9529       -26.6478    True
         1.02       0.015         0.94      1.0         0.3      0.00      1.00 11.9529       -26.6478    True
         1.02       0.015         0.94      0.8         0.3      0.00      1.00 11.9442       -26.7765    True
         1.02       0.015         0.94      0.9         0.0      0.00      1.00 11.9125       -35.1429    True
         1.02       0.015         0.94      1.0         0.2      0.25      0.75 11.8734       -26.6079    True
         1.02       0.015         0.94      0.9         0.2      0.25      0.75 11.8734       -26.6079    True
         1.02       0.015         0.94      1.0         0.0      0.50      0.50 11.8336       -28.6912    True
         1.02       0.015         0.94      0.7         0.3      0.00      1.00 11.8282       -27.4040    True
         1.02       0.015         0.94      0.8         0.2      0.25      0.75 11.8004       -27.1050    True
         1.02      -0.005         0.97      1.0         0.0      0.00      1.00 11.7093       -35.5350    True
         1.02       0.015         0.94      0.8         0.1      0.00      1.00 11.6928       -32.9452    True

==============================================================================================================
BEST COMBO
  entry=1.02  drop=0.015  exit=0.94  buy=1.0  base=0.0  x2=0.0  x3=1.0
  CAGR 12.56%   worst year -34.28%   final $160,235   (IWM B&H CAGR 10.37%)

  Year-by-year (best combo):
    2003  start $      10,000  end $      22,103  return  +121.0%
    2004  start $      22,804  end $      20,814  return    -8.7%
    2005  start $      19,999  end $      16,131  return   -19.3%
    2006  start $      17,091  end $      18,052  return    +5.6%
    2007  start $      18,138  end $      15,694  return   -13.5%
    2008  start $      15,694  end $      15,694  return    +0.0%
    2009  start $      15,694  end $      26,483  return   +68.7%
    2010  start $      28,596  end $      29,358  return    +2.7%
    2011  start $      30,890  end $      26,306  return   -14.8%
    2012  start $      26,306  end $      24,450  return    -7.1%
    2013  start $      26,652  end $      60,268  return  +126.1%
    2014  start $      58,275  end $      46,047  return   -21.0%
    2015  start $      46,047  end $      43,270  return    -6.0%
    2016  start $      43,270  end $      59,041  return   +36.4%
    2017  start $      59,829  end $      82,154  return   +37.3%
    2018  start $      84,480  end $      83,488  return    -1.2%
    2019  start $      83,488  end $      83,488  return    +0.0%
    2020  start $      83,488  end $     132,774  return   +59.0%
    2021  start $     127,269  end $     169,787  return   +33.4%
    2022  start $     175,877  end $     136,891  return   -22.2%
    2023  start $     136,891  end $      89,968  return   -34.3%
    2024  start $      88,348  end $      96,451  return    +9.2%
    2025  start $      96,520  end $     107,278  return   +11.1%
    2026  start $     110,529  end $     160,235  return   +45.0%
