entry_signal,drop_level,exit_signal,buy_pct,alloc_base,alloc_x2,alloc_x3,cagr,worst_ann_ret,max_dd,max_dd_real,passed,calmar
1.01,-0.01,0.93,0.1,0.0,0.0,1.0,11.5457,-38.6749,-71.8609,-71.1905,True,0.1622
1.01,-0.01,0.93,0.1,0.0,0.25,0.75,11.6363,-35.0793,-67.8516,-67.1885,True,0.1732
1.01,-0.01,0.93,0.1,0.0,0.5,0.5,11.6501,-31.4829,-63.3697,-62.5584,True,0.1862
1.01,-0.01,0.93,0.1,0.0,0.75,0.25,11.5879,-27.8858,-58.3567,-57.1353,True,0.2028
1.01,-0.01,0.93,0.1,0.0,1.0,0.0,11.4493,-24.288,-52.7451,-50.685,True,0.2259
1.01,-0.01,0.93,0.1,0.1,0.0,1.0,11.7656,-37.6919,-69.8763,-67.2112,True,0.1751
1.01,-0.01,0.93,0.1,0.1,0.25,0.75,11.7906,-34.5221,-66.0676,-63.1866,True,0.1866
1.01,-0.01,0.93,0.1,0.1,0.5,0.5,11.7538,-31.3524,-61.8502,-58.568,True,0.2007
1.01,-0.01,0.93,0.1,0.1,0.75,0.25,11.6553,-28.1878,-57.18,-53.2098,True,0.219
1.01,-0.01,0.93,0.1,0.1,1.0,0.0,11.4954,-25.0168,-51.9968,-46.9049,True,0.2451
1.01,-0.01,0.93,0.1,0.2,0.0,1.0,11.9263,-36.8301,-67.9439,-63.0776,True,0.1891
1.01,-0.01,0.93,0.1,0.2,0.25,0.75,11.9001,-34.0744,-64.3532,-59.0873,True,0.2014
1.01,-0.01,0.93,0.1,0.2,0.5,0.5,11.823,-31.329,-60.4194,-54.538,True,0.2168
1.01,-0.01,0.93,0.1,0.2,0.75,0.25,11.6984,-28.5696,-56.092,-49.6632,True,0.2356
1.01,-0.01,0.93,0.1,0.2,1.0,0.0,11.5245,-25.8102,-51.3369,-45.061,True,0.2558
1.01,-0.01,0.93,0.1,0.3,0.0,1.0,12.0071,-36.0905,-65.688,-58.5825,True,0.205
1.01,-0.01,0.93,0.1,0.3,0.25,0.75,11.9397,-33.7313,-62.3439,-55.162,True,0.2164
1.01,-0.01,0.93,0.1,0.3,0.5,0.5,11.8354,-31.386,-58.7219,-51.8565,True,0.2282
1.01,-0.01,0.93,0.1,0.3,0.75,0.25,11.6944,-29.0224,-54.7737,-48.125,True,0.243
1.01,-0.01,0.93,0.1,0.3,1.0,0.0,11.515,-26.6588,-50.4794,-43.8584,True,0.2625
1.01,-0.01,0.93,0.2,0.0,0.0,1.0,12.0493,-40.4469,-73.6128,-71.0383,True,0.1696
1.01,-0.01,0.93,0.2,0.0,0.25,0.75,12.1158,-36.9299,-69.6559,-67.033,True,0.1807
1.01,-0.01,0.93,0.2,0.0,0.5,0.5,12.102,-34.3446,-65.2136,-62.384,True,0.194
1.01,-0.01,0.93,0.2,0.0,0.75,0.25,12.0083,-31.4576,-60.224,-56.9135,True,0.211
1.01,-0.01,0.93,0.2,0.0,1.0,0.0,11.8341,-28.1949,-54.6152,-50.3635,True,0.235
1.01,-0.01,0.93,0.2,0.1,0.0,1.0,12.018,-39.3931,-71.3653,-68.0546,True,0.1766
1.01,-0.01,0.93,0.2,0.1,0.25,0.75,12.037,-37.1028,-67.5747,-64.0446,True,0.1879
1.01,-0.01,0.93,0.2,0.1,0.5,0.5,11.9908,-34.5912,-63.3688,-59.4311,True,0.2018
1.01,-0.01,0.93,0.2,0.1,0.75,0.25,11.8795,-31.8076,-58.6908,-54.0574,True,0.2198
1.01,-0.01,0.93,0.2,0.1,1.0,0.0,11.7019,-28.6899,-53.4884,-48.7634,True,0.24
1.01,-0.01,0.93,0.2,0.2,0.0,1.0,11.9575,-39.4645,-68.9686,-64.746,True,0.1847
1.01,-0.01,0.93,0.2,0.2,0.25,0.75,11.9374,-37.2291,-65.379,-60.7557,True,0.1965
1.01,-0.01,0.93,0.2,0.2,0.5,0.5,11.8648,-34.7935,-61.4424,-56.5153,True,0.2099
1.01,-0.01,0.93,0.2,0.2,0.75,0.25,11.7418,-32.1259,-57.1097,-52.4729,True,0.2238
1.01,-0.01,0.93,0.2,0.2,1.0,0.0,11.5657,-29.1681,-52.3415,-47.7957,True,0.242
1.01,-0.01,0.93,0.2,0.3,0.0,1.0,11.8708,-39.4832,-66.2792,-61.1904,True,0.194
1.01,-0.01,0.93,0.2,0.3,0.25,0.75,11.8201,-37.3137,-62.9327,-58.1731,True,0.2032
1.01,-0.01,0.93,0.2,0.3,0.5,0.5,11.7296,-34.968,-59.2961,-54.8005,True,0.214
1.01,-0.01,0.93,0.2,0.3,0.75,0.25,11.5992,-32.4159,-55.3399,-50.9894,True,0.2275
1.01,-0.01,0.93,0.2,0.3,1.0,0.0,11.4291,-29.6247,-51.0327,-46.635,True,0.2451
1.01,-0.01,0.93,0.3,0.0,0.0,1.0,11.7472,-45.5019,-73.7436,-72.8427,False,0.1613
1.01,-0.01,0.93,0.3,0.0,0.25,0.75,11.8477,-42.8602,-69.7781,-68.8944,False,0.172
1.01,-0.01,0.93,0.3,0.0,0.5,0.5,11.8654,-39.96,-65.3251,-64.2965,True,0.1845
1.01,-0.01,0.93,0.3,0.0,0.75,0.25,11.8006,-36.7446,-60.3224,-58.8703,True,0.2005
1.01,-0.01,0.93,0.3,0.0,1.0,0.0,11.653,-33.138,-54.6978,-52.3573,True,0.2226
1.01,-0.01,0.93,0.3,0.1,0.0,1.0,11.7496,-45.6734,-71.3615,-69.7819,False,0.1684
1.01,-0.01,0.93,0.3,0.1,0.25,0.75,11.7966,-43.0737,-67.5593,-65.8091,False,0.1793
1.01,-0.01,0.93,0.3,0.1,0.5,0.5,11.777,-40.2363,-63.3359,-61.2224,False,0.1924
1.01,-0.01,0.93,0.3,0.1,0.75,0.25,11.6904,-37.1128,-58.6414,-56.2017,True,0.208
1.01,-0.01,0.93,0.3,0.1,1.0,0.0,11.5365,-33.6397,-53.4194,-51.1804,True,0.2254
1.01,-0.01,0.93,0.3,0.2,0.0,1.0,11.6444,-45.8018,-68.8228,-66.6245,False,0.1748
1.01,-0.01,0.93,0.3,0.2,0.25,0.75,11.654,-43.2504,-65.2277,-62.6599,False,0.186
1.01,-0.01,0.93,0.3,0.2,0.5,0.5,11.6106,-40.483,-61.276,-58.948,False,0.197
1.01,-0.01,0.93,0.3,0.2,0.75,0.25,11.5144,-37.4595,-56.9307,-54.8547,True,0.2099
1.01,-0.01,0.93,0.3,0.2,1.0,0.0,11.3647,-34.1284,-52.1493,-50.1091,True,0.2268
1.01,-0.01,0.93,0.3,0.3,0.0,1.0,11.4894,-45.8818,-66.1124,-63.8224,False,0.18
1.01,-0.01,0.93,0.3,0.3,0.25,0.75,11.4735,-43.386,-62.7673,-60.7631,False,0.1888
1.01,-0.01,0.93,0.3,0.3,0.5,0.5,11.4169,-40.6973,-59.1299,-57.3369,False,0.1991
1.01,-0.01,0.93,0.3,0.3,0.75,0.25,11.3193,-37.7833,-55.1712,-53.4591,True,0.2117
1.01,-0.01,0.93,0.3,0.3,1.0,0.0,11.1802,-34.6035,-50.8618,-49.0143,True,0.2281
1.01,-0.01,0.93,0.4,0.0,0.0,1.0,11.3554,-51.4104,-74.4846,-74.4846,False,0.1525
1.01,-0.01,0.93,0.4,0.0,0.25,0.75,11.4939,-48.5106,-70.5986,-70.5986,False,0.1628
1.01,-0.01,0.93,0.4,0.0,0.5,0.5,11.5485,-45.3367,-66.0568,-66.0568,False,0.1748
1.01,-0.01,0.93,0.4,0.0,0.75,0.25,11.5193,-41.83,-60.6791,-60.6791,False,0.1898
1.01,-0.01,0.93,0.4,0.0,1.0,0.0,11.4061,-37.9121,-54.5377,-54.4662,True,0.2094
1.01,-0.01,0.93,0.4,0.1,0.0,1.0,11.2949,-51.6239,-71.8035,-71.8035,False,0.1573
1.01,-0.01,0.93,0.4,0.1,0.25,0.75,11.3841,-48.7602,-67.8862,-67.8862,False,0.1677
1.01,-0.01,0.93,0.4,0.1,0.5,0.5,11.4056,-45.6418,-63.3468,-63.3468,False,0.1801
1.01,-0.01,0.93,0.4,0.1,0.75,0.25,11.3591,-42.2183,-58.503,-58.4462,False,0.1944
1.01,-0.01,0.93,0.4,0.1,1.0,0.0,11.2441,-38.4238,-53.3885,-53.3885,True,0.2106
1.01,-0.01,0.93,0.4,0.2,0.0,1.0,11.1805,-51.693,-68.8915,-68.8915,False,0.1623
1.01,-0.01,0.93,0.4,0.2,0.25,0.75,11.2339,-48.877,-65.0964,-64.9642,False,0.1729
1.01,-0.01,0.93,0.4,0.2,0.5,0.5,11.2325,-45.8271,-61.3226,-61.3226,False,0.1832
1.01,-0.01,0.93,0.4,0.2,0.75,0.25,11.1778,-42.501,-57.1867,-57.1867,False,0.1955
1.01,-0.01,0.93,0.4,0.2,1.0,0.0,11.0681,-38.8447,-52.384,-52.384,True,0.2113
1.01,-0.01,0.93,0.4,0.3,0.0,1.0,11.2082,-48.7959,-65.9831,-65.0983,False,0.1722
1.01,-0.01,0.93,0.4,0.3,0.25,0.75,11.2194,-46.1628,-62.6331,-62.0187,False,0.1809
1.01,-0.01,0.93,0.4,0.3,0.5,0.5,11.1883,-43.3275,-59.0001,-58.5664,False,0.191
1.01,-0.01,0.93,0.4,0.3,0.75,0.25,11.1163,-40.2564,-55.0419,-54.6551,False,0.2034
1.01,-0.01,0.93,0.4,0.3,1.0,0.0,11.0016,-36.9076,-50.732,-50.1678,True,0.2193
1.01,-0.01,0.93,0.5,0.0,0.0,1.0,10.8846,-56.9463,-76.2877,-76.2877,False,0.1427
1.01,-0.01,0.93,0.5,0.0,0.25,0.75,11.0684,-53.8363,-72.4735,-72.4735,False,0.1527
1.01,-0.01,0.93,0.5,0.0,0.5,0.5,11.1667,-50.4337,-67.9973,-67.9973,False,0.1642
1.01,-0.01,0.93,0.5,0.0,0.75,0.25,11.18,-46.6782,-62.6778,-62.6778,False,0.1784
1.01,-0.01,0.93,0.5,0.0,1.0,0.0,11.1078,-42.489,-56.6123,-56.6123,False,0.1962
1.01,-0.01,0.93,0.5,0.1,0.0,1.0,11.0136,-54.3688,-72.8691,-72.8691,False,0.1511
1.01,-0.01,0.93,0.5,0.1,0.25,0.75,11.1302,-51.3959,-68.9836,-68.9836,False,0.1613
1.01,-0.01,0.93,0.5,0.1,0.5,0.5,11.1776,-48.1588,-64.4718,-64.4718,False,0.1734
1.01,-0.01,0.93,0.5,0.1,0.75,0.25,11.1566,-44.6061,-59.5428,-59.5428,False,0.1874
1.01,-0.01,0.93,0.5,0.1,1.0,0.0,11.066,-40.6703,-54.4667,-54.4667,False,0.2032
1.01,-0.01,0.93,0.5,0.2,0.0,1.0,11.0905,-51.6331,-69.0182,-69.0182,False,0.1607
1.01,-0.01,0.93,0.5,0.2,0.25,0.75,11.1528,-48.819,-65.0962,-65.0962,False,0.1713
1.01,-0.01,0.93,0.5,0.2,0.5,0.5,11.1602,-45.7707,-61.2877,-61.2877,False,0.1821
1.01,-0.01,0.93,0.5,0.2,0.75,0.25,11.1134,-42.4456,-57.15,-57.15,False,0.1945
1.01,-0.01,0.93,0.5,0.2,1.0,0.0,11.0113,-38.7892,-52.3435,-52.3435,True,0.2104
1.01,-0.01,0.93,0.5,0.3,0.0,1.0,11.1171,-48.7304,-65.8157,-65.062,False,0.1709
1.01,-0.01,0.93,0.5,0.3,0.25,0.75,11.1373,-46.0998,-62.4699,-61.9827,False,0.1797
1.01,-0.01,0.93,0.5,0.3,0.5,0.5,11.1151,-43.2664,-58.8389,-58.5299,False,0.1899
1.01,-0.01,0.93,0.5,0.3,0.75,0.25,11.0509,-40.1965,-54.8873,-54.6166,False,0.2023
1.01,-0.01,0.93,0.5,0.3,1.0,0.0,10.9439,-36.8479,-50.5867,-50.125,True,0.2183
1.01,-0.01,0.93,0.6,0.0,0.0,1.0,10.7963,-56.8895,-76.3744,-76.3744,False,0.1414
1.01,-0.01,0.93,0.6,0.0,0.25,0.75,10.9888,-53.7808,-72.5674,-72.5674,False,0.1514
1.01,-0.01,0.93,0.6,0.0,0.5,0.5,11.0955,-50.3794,-68.098,-68.098,False,0.1629
1.01,-0.01,0.93,0.6,0.0,0.75,0.25,11.1166,-46.6248,-62.7845,-62.7845,False,0.1771
1.01,-0.01,0.93,0.6,0.0,1.0,0.0,11.0516,-42.4355,-56.595,-56.595,False,0.1953
1.01,-0.01,0.93,0.6,0.1,0.0,1.0,10.9218,-54.3036,-72.9737,-72.9737,False,0.1497
1.01,-0.01,0.93,0.6,0.1,0.25,0.75,11.0477,-51.3328,-69.0946,-69.0946,False,0.1599
1.01,-0.01,0.93,0.6,0.1,0.5,0.5,11.1041,-48.0976,-64.5884,-64.5884,False,0.1719
1.01,-0.01,0.93,0.6,0.1,0.75,0.25,11.0913,-44.5463,-59.5018,-59.5018,False,0.1864
1.01,-0.01,0.93,0.6,0.1,1.0,0.0,11.0084,-40.611,-54.4224,-54.4224,False,0.2023
1.01,-0.01,0.93,0.6,0.2,0.0,1.0,10.9959,-51.5675,-69.1414,-69.1414,False,0.159
1.01,-0.01,0.93,0.6,0.2,0.25,0.75,11.0679,-48.7557,-65.2247,-65.2247,False,0.1697
1.01,-0.01,0.93,0.6,0.2,0.5,0.5,11.0846,-45.7093,-61.2493,-61.2493,False,0.181
1.01,-0.01,0.93,0.6,0.2,0.75,0.25,11.0464,-42.3856,-57.11,-57.11,False,0.1934
1.01,-0.01,0.93,0.6,0.2,1.0,0.0,10.9522,-38.7296,-52.2998,-52.2998,True,0.2094
1.01,-0.01,0.93,0.6,0.3,0.0,1.0,11.02,-48.6649,-65.6457,-65.0256,False,0.1695
1.01,-0.01,0.93,0.6,0.3,0.25,0.75,11.05,-46.0367,-62.3057,-61.9467,False,0.1784
1.01,-0.01,0.93,0.6,0.3,0.5,0.5,11.0375,-43.2052,-58.6775,-58.4933,False,0.1887
1.01,-0.01,0.93,0.6,0.3,0.75,0.25,10.9821,-40.1367,-54.7325,-54.578,False,0.2012
1.01,-0.01,0.93,0.6,0.3,1.0,0.0,10.8832,-36.7882,-50.4393,-50.0821,True,0.2173
1.01,-0.01,0.93,0.7,0.0,0.0,1.0,10.7012,-56.8252,-76.4634,-76.4634,False,0.14
