LEADERBOARD — IWM exit MA200, grid v3, 2003-01-02 -> 2026-06-11
Filter: annual return >= -40% from 2009 onward

 entry_signal  drop_level  exit_signal  buy_pct  alloc_base  alloc_x2  alloc_x3    cagr  worst_ann_ret   max_dd  max_dd_real  passed  calmar
         1.04       0.015         0.95      1.0         0.0      0.00      1.00 13.7538       -29.0907 -64.2668     -64.2668    True  0.2140
         1.04       0.015         0.95      0.9         0.1      0.00      1.00 13.5330       -27.2754 -60.4513     -60.4513    True  0.2239
         1.05       0.015         0.95      1.0         0.0      0.00      1.00 13.5185       -29.0907 -58.6495     -58.6495    True  0.2305
         1.04       0.015         0.95      0.9         0.0      0.00      1.00 13.4390       -29.0907 -63.5872     -63.5872    True  0.2113
         1.04       0.015         0.95      1.0         0.0      0.25      0.75 13.3294       -26.6534 -60.3398     -60.3398    True  0.2209
         1.04       0.015         0.95      0.8         0.2      0.00      1.00 13.2828       -25.3726 -56.2784     -56.2784    True  0.2360
         1.05       0.015         0.95      0.9         0.1      0.00      1.00 13.2735       -27.0289 -54.9854     -54.9854    True  0.2414
         1.04       0.015         0.95      0.8         0.1      0.00      1.00 13.2434       -27.0129 -59.6064     -59.6064    True  0.2222
         1.05       0.015         0.95      0.9         0.0      0.00      1.00 13.1833       -29.0907 -59.5059     -59.5059    True  0.2215
         1.04       0.015         0.95      0.9         0.1      0.25      0.75 13.1268       -24.9845 -56.5367     -56.5367    True  0.2322
         1.04       0.015         0.95      0.8         0.0      0.00      1.00 13.1114       -29.0907 -62.9379     -62.9379    True  0.2083
         1.05       0.015         0.95      1.0         0.0      0.25      0.75 13.0984       -26.6534 -54.8777     -54.8777    True  0.2387
         1.04       0.015         0.95      0.9         0.0      0.25      0.75 13.0315       -26.6481 -59.6718     -59.6718    True  0.2184
         1.04       0.015         0.95      0.7         0.2      0.00      1.00 13.0097       -24.8891 -55.2675     -55.2675    True  0.2354
         1.05       0.015         0.95      0.8         0.2      0.00      1.00 13.0094       -24.9180 -50.9662     -50.9662    True  0.2553
         1.04       0.015         0.95      0.7         0.3      0.00      1.00 13.0029       -23.3758 -51.7018     -51.7018    True  0.2515
         1.05       0.015         0.95      0.8         0.1      0.00      1.00 12.9561       -27.0129 -55.8025     -55.8025    True  0.2322
         1.04       0.015         0.95      0.7         0.1      0.00      1.00 12.9063       -26.9939 -58.9033     -58.9033    True  0.2191
         1.04       0.015         0.95      0.8         0.2      0.25      0.75 12.9001       -23.2438 -52.4123     -52.4123    True  0.2461
         1.05       0.015         0.95      0.9         0.1      0.25      0.75 12.8763       -24.7608 -51.2421     -51.2421    True  0.2513

==============================================================================================================
BEST COMBO
  entry=1.04  drop=0.015  exit=0.95  buy=1.0  base=0.0  x2=0.0  x3=1.0
  CAGR 13.75%   worst year -29.09%   final $205,009   (IWM B&H CAGR 10.37%)

  Year-by-year (best combo):
    2003  start $      10,000  end $      22,103  return  +121.0%
    2004  start $      22,804  end $      19,045  return   -16.5%
    2005  start $      18,299  end $      18,449  return    +0.8%
    2006  start $      19,548  end $      24,896  return   +27.4%
    2007  start $      25,014  end $      20,408  return   -18.4%
    2008  start $      20,408  end $      20,408  return    +0.0%
    2009  start $      20,408  end $      37,450  return   +83.5%
    2010  start $      40,438  end $      43,058  return    +6.5%
    2011  start $      45,305  end $      32,126  return   -29.1%
    2012  start $      32,126  end $      38,400  return   +19.5%
    2013  start $      41,858  end $      94,652  return  +126.1%
    2014  start $      91,522  end $      74,274  return   -18.8%
    2015  start $      74,274  end $      53,531  return   -27.9%
    2016  start $      53,531  end $      73,043  return   +36.4%
    2017  start $      74,018  end $     101,636  return   +37.3%
    2018  start $     104,514  end $      93,030  return   -11.0%
    2019  start $      93,030  end $      93,030  return    +0.0%
    2020  start $      93,030  end $     185,697  return   +99.6%
    2021  start $     177,997  end $     237,462  return   +33.4%
    2022  start $     245,980  end $     191,455  return   -22.2%
    2023  start $     191,455  end $     152,400  return   -20.4%
    2024  start $     149,657  end $     163,382  return    +9.2%
    2025  start $     163,499  end $     137,254  return   -16.1%
    2026  start $     141,413  end $     205,009  return   +45.0%
