LEADERBOARD — IWM exit MA50, grid v3, 2003-01-02 -> 2026-06-11
Filter: annual return >= -40% from 2009 onward

 entry_signal  drop_level  exit_signal  buy_pct  alloc_base  alloc_x2  alloc_x3    cagr  worst_ann_ret   max_dd  max_dd_real  passed  calmar
         1.01      0.0025         0.94      0.7         0.3      0.00      1.00 11.2735       -36.4083 -68.2613     -55.6930    True  0.2024
         1.01      0.0025         0.94      0.6         0.3      0.00      1.00 11.2100       -36.5107 -68.4334     -54.9639    True  0.2040
         1.01     -0.0100         0.94      0.1         0.3      0.00      1.00 11.1900       -36.0905 -68.4657     -55.0560    True  0.2032
         1.01      0.0025         0.94      0.7         0.3      0.25      0.75 11.1825       -33.9947 -65.1257     -52.7374    True  0.2120
         1.01     -0.0100         0.94      0.2         0.3      0.00      1.00 11.1437       -37.0922 -68.5912     -59.7529    True  0.1865
         1.01      0.0025         0.94      0.8         0.2      0.00      1.00 11.1335       -37.3540 -71.2370     -59.0286    True  0.1886
         1.01      0.0025         0.94      0.6         0.3      0.25      0.75 11.1121       -34.1122 -65.3114     -52.0322    True  0.2136
         1.01      0.0025         0.94      0.5         0.3      0.00      1.00 11.0858       -36.6958 -68.6752     -54.1906    True  0.2046
         1.01      0.0025         0.94      0.8         0.2      0.25      0.75 11.0842       -34.5221 -67.8849     -55.9570    True  0.1981
         1.01     -0.0100         0.94      0.1         0.3      0.25      0.75 11.0752       -33.7313 -65.3565     -52.3848    True  0.2114
         1.01      0.0025         0.94      0.7         0.2      0.00      1.00 11.0582       -37.4713 -71.4078     -58.3395    True  0.1895
         1.01     -0.0100         0.94      0.2         0.3      0.25      0.75 11.0535       -34.6783 -65.3535     -56.9319    True  0.1942
         1.01     -0.0050         0.94      0.2         0.3      0.00      1.00 11.0491       -36.7906 -68.6610     -58.8047    True  0.1879
         1.01      0.0025         0.94      0.7         0.3      0.50      0.50 11.0452       -31.5811 -61.7494     -49.4828    True  0.2232
         1.01     -0.0100         0.94      0.2         0.2      0.00      1.00 11.0066       -38.2306 -72.1656     -61.3872    True  0.1793
         1.01     -0.0050         0.94      0.2         0.2      0.00      1.00 11.0057       -37.6824 -71.7331     -60.1334    True  0.1830
         1.01      0.0025         0.94      0.7         0.2      0.25      0.75 11.0039       -34.6526 -68.0696     -55.2849    True  0.1990
         1.02     -0.0100         0.94      0.7         0.3      0.00      1.00 10.9924       -36.4083 -68.8775     -52.6115    True  0.2089
         1.01      0.0025         0.94      0.5         0.3      0.25      0.75 10.9913       -34.2976 -65.5584     -51.2792    True  0.2143
         1.01      0.0025         0.94      0.8         0.2      0.50      0.50 10.9760       -31.6903 -64.2332     -52.5464    True  0.2089

==============================================================================================================
BEST COMBO
  entry=1.01  drop=0.0025  exit=0.94  buy=0.7  base=0.3  x2=0.0  x3=1.0
  CAGR 11.27%   worst year -36.41%   final $122,282   (IWM B&H CAGR 10.37%)

  Year-by-year (best combo):
    2003  start $      10,000  end $      21,556  return  +115.6%
    2004  start $      22,150  end $      21,099  return    -4.7%
    2005  start $      20,423  end $      19,205  return    -6.0%
    2006  start $      20,130  end $      23,696  return   +17.7%
    2007  start $      23,788  end $      16,992  return   -28.6%
    2008  start $      16,941  end $      10,773  return   -36.4%
    2009  start $      10,826  end $      16,069  return   +48.4%
    2010  start $      17,133  end $      20,715  return   +20.9%
    2011  start $      21,615  end $      16,745  return   -22.5%
    2012  start $      16,830  end $      16,695  return    -0.8%
    2013  start $      17,889  end $      35,656  return   +99.3%
    2014  start $      34,634  end $      30,630  return   -11.6%
    2015  start $      30,213  end $      27,282  return    -9.7%
    2016  start $      27,094  end $      41,381  return   +52.7%
    2017  start $      41,850  end $      55,146  return   +31.8%
    2018  start $      56,494  end $      54,595  return    -3.4%
    2019  start $      54,652  end $      61,406  return   +12.4%
    2020  start $      61,478  end $      92,270  return   +50.1%
    2021  start $      89,016  end $     104,943  return   +17.9%
    2022  start $     105,240  end $     100,221  return    -4.8%
    2023  start $     100,120  end $      93,656  return    -6.5%
    2024  start $      92,283  end $     101,487  return   +10.0%
    2025  start $     101,563  end $     109,100  return    +7.4%
    2026  start $     111,799  end $     122,282  return    +9.4%
