LEADERBOARD — QQQ exit MA100, grid v3, 2003-01-02 -> 2026-06-11
Filter: annual return >= -40% from 2010 onward

 entry_signal  drop_level  exit_signal  buy_pct  alloc_base  alloc_x2  alloc_x3    cagr  worst_ann_ret   max_dd  max_dd_real  passed  calmar
         1.02      -0.010         0.94      1.0         0.0      0.00      1.00 26.4380       -50.0008 -70.1644     -54.0192    True  0.4894
         1.02      -0.010         0.94      0.9         0.0      0.00      1.00 26.2739       -49.9644 -70.1433     -54.0222    True  0.4864
         1.02      -0.010         0.94      0.8         0.0      0.00      1.00 26.1089       -49.9280 -70.1222     -54.2828    True  0.4810
         1.02      -0.010         0.94      0.7         0.0      0.00      1.00 25.9428       -49.8916 -70.1011     -54.8236    True  0.4732
         1.02      -0.010         0.94      0.6         0.0      0.00      1.00 25.7758       -49.8552 -70.0800     -55.3630    True  0.4656
         1.01      -0.005         0.94      0.3         0.0      0.00      1.00 25.7342       -49.2022 -68.7705     -57.4436    True  0.4480
         1.02      -0.010         0.94      0.9         0.1      0.00      1.00 25.7184       -48.4920 -67.8454     -51.1396    True  0.5029
         1.02      -0.005         0.94      1.0         0.0      0.00      1.00 25.6298       -50.0008 -70.1644     -57.9673    True  0.4421
         1.02      -0.010         0.94      0.5         0.0      0.00      1.00 25.6070       -49.8234 -70.0617     -55.9010    True  0.4581
         1.02      -0.005         0.94      0.9         0.0      0.00      1.00 25.5858       -49.9644 -70.1433     -58.0548    True  0.4407
         1.02      -0.010         0.94      0.8         0.1      0.00      1.00 25.5573       -48.4544 -67.8199     -51.1420    True  0.4997
         1.02      -0.005         0.94      0.8         0.0      0.00      1.00 25.5374       -49.9280 -70.1222     -58.1422    True  0.4392
         1.02      -0.005         0.94      0.7         0.0      0.00      1.00 25.4846       -49.8916 -70.1011     -58.2295    True  0.4377
         1.02      -0.005         0.94      0.6         0.0      0.00      1.00 25.4277       -49.8552 -70.0800     -58.3168    True  0.4360
         1.02      -0.010         0.94      0.7         0.1      0.00      1.00 25.3898       -48.4151 -67.7932     -51.6088    True  0.4920
         1.02      -0.010         0.94      0.4         0.0      0.00      1.00 25.3870       -50.3020 -69.1407     -56.3605    True  0.4504
         1.02      -0.005         0.94      0.5         0.0      0.00      1.00 25.3368       -49.8234 -70.0617     -58.4040    True  0.4338
         1.01      -0.005         0.94      0.2         0.0      0.00      1.00 25.3341       -49.8558 -68.7299     -56.9231    True  0.4451
         1.02      -0.010         0.94      1.0         0.0      0.25      0.75 25.3083       -46.2113 -66.3485     -50.9038    True  0.4972
         1.02      -0.010         0.94      0.6         0.1      0.00      1.00 25.2213       -48.3757 -67.7664     -52.1842    True  0.4833

==============================================================================================================
BEST COMBO
  entry=1.02  drop=-0.01  exit=0.94  buy=1.0  base=0.0  x2=0.0  x3=1.0
  CAGR 26.44%   worst year -50.00%   final $2,442,780   (QQQ B&H CAGR 16.16%)

  Year-by-year (best combo):
    2003  start $      10,000  end $      17,303  return   +73.0%
    2004  start $      17,154  end $      15,417  return   -10.1%
    2005  start $      14,927  end $      12,490  return   -16.3%
    2006  start $      13,321  end $      12,271  return    -7.9%
    2007  start $      12,337  end $      16,850  return   +36.6%
    2008  start $      16,041  end $       8,021  return   -50.0%
    2009  start $       8,021  end $      15,622  return   +94.8%
    2010  start $      16,305  end $      19,591  return   +20.2%
    2011  start $      20,475  end $      13,288  return   -35.1%
    2012  start $      14,045  end $      17,492  return   +24.5%
    2013  start $      17,492  end $      38,921  return  +122.5%
    2014  start $      38,011  end $      61,141  return   +60.8%
    2015  start $      60,639  end $      62,050  return    +2.3%
    2016  start $      58,258  end $      57,255  return    -1.7%
    2017  start $      58,641  end $     124,851  return  +112.9%
    2018  start $     131,259  end $     132,087  return    +0.6%
    2019  start $     132,087  end $     215,571  return   +63.2%
    2020  start $     226,256  end $     448,707  return   +98.3%
    2021  start $     429,085  end $     821,050  return   +91.3%
    2022  start $     844,744  end $     559,477  return   -33.8%
    2023  start $     559,477  end $   1,114,517  return   +99.2%
    2024  start $   1,058,021  end $   1,763,920  return   +66.7%
    2025  start $   1,752,774  end $   2,008,628  return   +14.6%
    2026  start $   1,994,531  end $   2,442,780  return   +22.5%
