LEADERBOARD — QQQ exit MA200, grid v3, 2003-01-02 -> 2026-06-11
Filter: annual return >= -40% from 2010 onward

 entry_signal  drop_level  exit_signal  buy_pct  alloc_base  alloc_x2  alloc_x3    cagr  worst_ann_ret   max_dd  max_dd_real  passed  calmar
         1.04      0.0000         1.01      1.0         0.0       0.0       1.0 29.1098       -32.9030 -55.8459     -51.7961    True  0.5620
         1.04      0.0000         1.01      0.9         0.0       0.0       1.0 29.0358       -32.7266 -55.9932     -52.0037    True  0.5583
         1.04      0.0000         1.01      0.8         0.0       0.0       1.0 28.9589       -32.5500 -56.1435     -52.2112    True  0.5546
         1.04      0.0000         1.01      0.7         0.0       0.0       1.0 28.8790       -32.3731 -56.2968     -52.4187    True  0.5509
         1.04      0.0000         1.01      0.6         0.0       0.0       1.0 28.7963       -32.1960 -56.4532     -52.6263    True  0.5472
         1.02     -0.0100         1.01      1.0         0.0       0.0       1.0 28.7410       -27.9288 -59.4072     -51.7961    True  0.5549
         1.04      0.0000         1.01      0.5         0.0       0.0       1.0 28.7023       -32.0401 -56.8315     -52.8338    True  0.5433
         1.04     -0.0050         1.01      1.0         0.0       0.0       1.0 28.6413       -27.2006 -57.8765     -51.7961    True  0.5530
         1.04     -0.0050         1.01      0.9         0.0       0.0       1.0 28.5528       -27.4088 -57.9829     -52.0037    True  0.5491
         1.04      0.0025         1.01      1.0         0.0       0.0       1.0 28.5303       -31.1287 -58.0773     -51.7961    True  0.5508
         1.04     -0.0050         1.01      0.8         0.0       0.0       1.0 28.4597       -27.7392 -58.1109     -52.2112    True  0.5451
         1.02     -0.0100         1.01      0.9         0.0       0.0       1.0 28.3935       -27.5028 -60.1825     -52.1530    True  0.5444
         1.04     -0.0050         1.01      0.7         0.0       0.0       1.0 28.3619       -28.0694 -58.2602     -52.4187    True  0.5411
         1.04     -0.0050         1.01      0.6         0.0       0.0       1.0 28.2596       -28.3994 -58.4307     -52.6263    True  0.5370
         1.04      0.0025         1.01      0.9         0.0       0.0       1.0 28.2513       -31.7576 -58.5108     -52.0037    True  0.5433
         1.04      0.0000         1.01      0.9         0.1       0.0       1.0 28.1644       -29.7711 -51.7452     -49.1761    True  0.5727
         1.04     -0.0050         1.01      0.5         0.0       0.0       1.0 28.1518       -28.7292 -58.6273     -52.8338    True  0.5328
         1.04      0.0000         1.01      0.8         0.1       0.0       1.0 28.0834       -29.6006 -51.8979     -49.3767    True  0.5688
         1.02     -0.0100         1.01      0.8         0.0       0.0       1.0 28.0397       -27.8201 -60.9648     -52.5098    True  0.5340
         1.04     -0.0050         1.01      0.4         0.0       0.0       1.0 28.0256       -29.0100 -59.6389     -51.9356    True  0.5396

==============================================================================================================
BEST COMBO
  entry=1.04  drop=0.0  exit=1.01  buy=1.0  base=0.0  x2=0.0  x3=1.0
  CAGR 29.11%   worst year -32.90%   final $3,987,924   (QQQ B&H CAGR 16.16%)

  Year-by-year (best combo):
    2003  start $      10,000  end $      19,404  return   +94.0%
    2004  start $      19,237  end $      16,376  return   -14.9%
    2005  start $      15,856  end $      10,639  return   -32.9%
    2006  start $      11,347  end $      11,097  return    -2.2%
    2007  start $      11,156  end $      13,391  return   +20.0%
    2008  start $      12,748  end $      11,193  return   -12.2%
    2009  start $      11,193  end $      23,202  return  +107.3%
    2010  start $      24,216  end $      27,744  return   +14.6%
    2011  start $      28,998  end $      23,332  return   -19.5%
    2012  start $      23,332  end $      29,252  return   +25.4%
    2013  start $      29,252  end $      62,369  return  +113.2%
    2014  start $      60,912  end $      86,501  return   +42.0%
    2015  start $      85,791  end $      87,755  return    +2.3%
    2016  start $      82,393  end $      97,144  return   +17.9%
    2017  start $      99,496  end $     211,834  return  +112.9%
    2018  start $     222,707  end $     255,493  return   +14.7%
    2019  start $     255,493  end $     319,726  return   +25.1%
    2020  start $     335,573  end $     665,503  return   +98.3%
    2021  start $     636,401  end $   1,217,746  return   +91.3%
    2022  start $   1,252,889  end $     942,540  return   -24.8%
    2023  start $     942,540  end $   1,687,352  return   +79.0%
    2024  start $   1,601,820  end $   2,670,534  return   +66.7%
    2025  start $   2,653,660  end $   3,497,693  return   +31.8%
    2026  start $   3,473,146  end $   3,987,924  return   +14.8%
