entry_signal,drop_level,exit_signal,buy_pct,alloc_base,alloc_x2,alloc_x3,cagr,worst_ann_ret,max_dd,max_dd_real,passed,calmar
1.01,-0.01,0.93,0.1,0.0,0.0,1.0,20.3868,-51.8498,-74.1158,-59.5683,True,0.3422
1.01,-0.01,0.93,0.1,0.0,0.25,0.75,19.7007,-48.4888,-69.8527,-56.6236,True,0.3479
1.01,-0.01,0.93,0.1,0.0,0.5,0.5,18.8896,-44.9392,-64.9312,-53.2458,True,0.3548
1.01,-0.01,0.93,0.1,0.0,0.75,0.25,17.9416,-41.1888,-59.2359,-49.2768,True,0.3641
1.01,-0.01,0.93,0.1,0.0,1.0,0.0,16.8412,-37.2244,-52.6333,-44.4642,True,0.3788
1.01,-0.01,0.93,0.1,0.1,0.0,1.0,20.3612,-51.2652,-70.8397,-56.3509,True,0.3613
1.01,-0.01,0.93,0.1,0.1,0.25,0.75,19.6718,-48.1701,-66.567,-53.447,True,0.3681
1.01,-0.01,0.93,0.1,0.1,0.5,0.5,18.8743,-44.9141,-61.6956,-50.1197,True,0.3766
1.01,-0.01,0.93,0.1,0.1,0.75,0.25,17.9586,-41.4877,-56.1305,-46.2221,True,0.3885
1.01,-0.01,0.93,0.1,0.1,1.0,0.0,16.9122,-37.8805,-50.1321,-41.5223,True,0.4073
1.01,-0.01,0.93,0.1,0.2,0.0,1.0,20.1951,-50.8905,-67.4227,-52.9,True,0.3818
1.01,-0.01,0.93,0.1,0.2,0.25,0.75,19.5167,-48.0565,-63.1885,-50.0431,True,0.39
1.01,-0.01,0.93,0.1,0.2,0.5,0.5,18.7502,-45.0878,-58.4268,-46.7785,True,0.4008
1.01,-0.01,0.93,0.1,0.2,0.75,0.25,17.8843,-41.9771,-54.3852,-42.9683,True,0.4162
1.01,-0.01,0.93,0.1,0.2,1.0,0.0,16.9075,-38.7167,-49.9328,-38.9963,True,0.4336
1.01,-0.01,0.93,0.1,0.3,0.0,1.0,19.9588,-50.5725,-63.9067,-49.395,True,0.4041
1.01,-0.01,0.93,0.1,0.3,0.25,0.75,19.3039,-48.0005,-60.8572,-46.6076,True,0.4142
1.01,-0.01,0.93,0.1,0.3,0.5,0.5,18.5749,-45.3177,-57.5084,-43.4345,True,0.4277
1.01,-0.01,0.93,0.1,0.3,0.75,0.25,17.7663,-42.5191,-54.023,-40.1136,True,0.4429
1.01,-0.01,0.93,0.1,0.3,1.0,0.0,16.8688,-39.5988,-50.2485,-36.5531,True,0.4615
1.01,-0.01,0.93,0.2,0.0,0.0,1.0,19.7329,-60.2322,-78.4251,-59.1636,True,0.3335
1.01,-0.01,0.93,0.2,0.0,0.25,0.75,19.1595,-56.6031,-74.3572,-56.0717,True,0.3417
1.01,-0.01,0.93,0.2,0.0,0.5,0.5,18.4547,-52.7136,-69.5839,-52.656,True,0.3505
1.01,-0.01,0.93,0.2,0.0,0.75,0.25,17.6049,-48.5558,-63.9851,-48.8571,True,0.3603
1.01,-0.01,0.93,0.2,0.0,1.0,0.0,16.5939,-44.1109,-57.9403,-44.5986,True,0.3721
1.01,-0.01,0.93,0.2,0.1,0.0,1.0,19.8598,-58.1013,-74.5131,-56.2527,True,0.353
1.01,-0.01,0.93,0.2,0.1,0.25,0.75,19.2553,-54.7377,-70.3277,-53.2312,True,0.3617
1.01,-0.01,0.93,0.2,0.1,0.5,0.5,18.5389,-51.1668,-65.6576,-49.9117,True,0.3714
1.01,-0.01,0.93,0.2,0.1,0.75,0.25,17.7003,-47.3758,-61.2998,-46.2432,True,0.3828
1.01,-0.01,0.93,0.2,0.1,1.0,0.0,16.7254,-43.3507,-56.3208,-42.1634,True,0.3967
1.01,-0.01,0.93,0.2,0.2,0.0,1.0,19.859,-55.9639,-70.3045,-53.1239,True,0.3738
1.01,-0.01,0.93,0.2,0.2,0.25,0.75,19.2463,-52.8965,-67.0345,-50.1951,True,0.3834
1.01,-0.01,0.93,0.2,0.2,0.5,0.5,18.5404,-49.6624,-63.375,-46.9987,True,0.3945
1.01,-0.01,0.93,0.2,0.2,0.75,0.25,17.7324,-46.2521,-59.2648,-43.4902,True,0.4077
1.01,-0.01,0.93,0.2,0.2,1.0,0.0,16.8107,-42.6555,-54.6295,-39.6179,True,0.4243
1.01,-0.01,0.93,0.2,0.3,0.0,1.0,19.6544,-53.686,-67.4423,-49.7462,True,0.3951
1.01,-0.01,0.93,0.2,0.3,0.25,0.75,19.0557,-50.9385,-64.3251,-46.9404,True,0.406
1.01,-0.01,0.93,0.2,0.3,0.5,0.5,18.3817,-48.0618,-60.8799,-43.8973,True,0.4187
1.01,-0.01,0.93,0.2,0.3,0.75,0.25,17.6256,-45.0496,-57.061,-40.586,True,0.4343
1.01,-0.01,0.93,0.2,0.3,1.0,0.0,16.7797,-41.895,-52.814,-36.9656,True,0.4539
1.01,-0.01,0.93,0.3,0.0,0.0,1.0,19.7252,-60.0583,-77.7026,-59.2371,True,0.333
1.01,-0.01,0.93,0.3,0.0,0.25,0.75,19.179,-56.4018,-73.5324,-56.1147,True,0.3418
1.01,-0.01,0.93,0.3,0.0,0.5,0.5,18.499,-52.492,-68.6513,-52.6648,True,0.3513
1.01,-0.01,0.93,0.3,0.0,0.75,0.25,17.6734,-48.3116,-63.405,-48.8286,True,0.3619
1.01,-0.01,0.93,0.3,0.0,1.0,0.0,16.6862,-43.8413,-58.0864,-44.5311,True,0.3747
1.01,-0.01,0.93,0.3,0.1,0.0,1.0,19.6856,-57.7364,-74.1205,-56.2741,True,0.3498
1.01,-0.01,0.93,0.3,0.1,0.25,0.75,19.1242,-54.3556,-69.8635,-53.2303,True,0.3593
1.01,-0.01,0.93,0.3,0.1,0.5,0.5,18.4493,-50.7669,-65.7417,-49.8834,True,0.3698
1.01,-0.01,0.93,0.3,0.1,0.75,0.25,17.6504,-46.9574,-61.355,-46.1862,True,0.3822
1.01,-0.01,0.93,0.3,0.1,1.0,0.0,16.7149,-42.9129,-56.3384,-42.0759,True,0.3973
1.01,-0.01,0.93,0.3,0.2,0.0,1.0,19.8444,-55.5916,-70.473,-52.4983,True,0.378
