LEADERBOARD — QQQ exit MA50, grid v3, 2003-01-02 -> 2026-06-11
Filter: annual return >= -40% from 2010 onward

 entry_signal  drop_level  exit_signal  buy_pct  alloc_base  alloc_x2  alloc_x3    cagr  worst_ann_ret  passed
         1.01      -0.010         0.95      1.0         0.3      0.00      1.00 24.1630       -46.2724    True
         1.01      -0.010         0.95      0.9         0.3      0.00      1.00 24.1430       -46.2724    True
         1.02      -0.010         0.95      1.0         0.0      0.00      1.00 24.0867       -51.2926    True
         1.01      -0.010         0.95      0.7         0.2      0.00      1.00 24.0177       -47.1041    True
         1.01      -0.010         0.95      0.8         0.3      0.00      1.00 23.9995       -46.2724    True
         1.02      -0.010         0.95      0.9         0.0      0.00      1.00 23.8629       -49.3773    True
         1.01      -0.010         0.95      0.7         0.3      0.00      1.00 23.8056       -46.2610    True
         1.02      -0.010         0.95      1.0         0.1      0.00      1.00 23.7470       -49.9634    True
         1.02      -0.010         0.95      0.9         0.1      0.00      1.00 23.7365       -49.9611    True
         1.02      -0.005         0.95      1.0         0.0      0.00      1.00 23.6941       -51.2926    True
         1.02      -0.010         0.95      0.8         0.0      0.00      1.00 23.6226       -47.4592    True
         1.02      -0.005         0.95      0.9         0.0      0.00      1.00 23.6147       -49.3773    True
         1.01      -0.010         0.95      0.6         0.2      0.00      1.00 23.6041       -46.9895    True
         1.02      -0.005         0.95      0.8         0.0      0.00      1.00 23.5130       -47.4592    True
         1.01      -0.010         0.95      1.0         0.2      0.25      0.75 23.5118       -44.5164    True
         1.02      -0.010         0.95      0.8         0.1      0.00      1.00 23.4856       -49.4230    True
         1.01      -0.010         0.95      0.9         0.2      0.25      0.75 23.4664       -44.5164    True
         1.01      -0.010         0.95      0.6         0.3      0.00      1.00 23.4242       -46.1697    True
         1.02      -0.010         0.95      0.9         0.2      0.00      1.00 23.3667       -48.7105    True
         1.02      -0.010         0.95      0.7         0.0      0.00      1.00 23.3664       -45.5384    True

==============================================================================================================
BEST COMBO
  entry=1.01  drop=-0.01  exit=0.95  buy=1.0  base=0.3  x2=0.0  x3=1.0
  CAGR 24.16%   worst year -46.27%   final $1,596,091   (QQQ B&H CAGR 16.16%)

  Year-by-year (best combo):
    2003  start $      10,000  end $      15,425  return   +54.2%
    2004  start $      15,313  end $      15,202  return    -0.7%
    2005  start $      14,802  end $      11,977  return   -19.1%
    2006  start $      12,599  end $      12,375  return    -1.8%
    2007  start $      12,427  end $      14,957  return   +20.4%
    2008  start $      14,402  end $       7,738  return   -46.3%
    2009  start $       7,865  end $      13,893  return   +76.6%
    2010  start $      14,368  end $      14,445  return    +0.5%
    2011  start $      14,936  end $       9,915  return   -33.6%
    2012  start $      10,267  end $      13,382  return   +30.3%
    2013  start $      14,220  end $      25,201  return   +77.2%
    2014  start $      24,754  end $      33,132  return   +33.8%
    2015  start $      32,917  end $      34,894  return    +6.0%
    2016  start $      33,237  end $      36,017  return    +8.4%
    2017  start $      36,695  end $      67,665  return   +84.4%
    2018  start $      70,567  end $      61,196  return   -13.3%
    2019  start $      61,264  end $      95,717  return   +56.2%
    2020  start $      99,691  end $     216,513  return  +117.2%
    2021  start $     208,075  end $     392,341  return   +88.6%
    2022  start $     402,811  end $     308,958  return   -23.3%
    2023  start $     308,756  end $     654,391  return  +111.9%
    2024  start $     622,783  end $   1,048,271  return   +68.3%
    2025  start $   1,041,901  end $   1,315,152  return   +26.2%
    2026  start $   1,306,279  end $   1,596,091  return   +22.2%
