LEADERBOARD — SPY exit MA100, grid v3, 2003-01-02 -> 2026-06-11
Filter: annual return >= -40% from 2009 onward

 entry_signal  drop_level  exit_signal  buy_pct  alloc_base  alloc_x2  alloc_x3    cagr  worst_ann_ret   max_dd  max_dd_real  passed  calmar
         1.02      0.0050         0.95      0.8         0.0       0.0       1.0 22.9687       -38.9629 -52.2571     -47.8771    True  0.4797
         1.02      0.0050         0.95      0.7         0.0       0.0       1.0 22.8283       -37.4593 -52.3981     -47.0227    True  0.4855
         1.02      0.0050         0.95      0.6         0.0       0.0       1.0 22.6818       -35.9557 -52.5409     -46.1889    True  0.4911
         1.02      0.0100         0.93      1.0         0.0       0.0       1.0 22.5511       -32.6290 -49.7387     -49.7387    True  0.4534
         1.02      0.0050         0.95      0.5         0.0       0.0       1.0 22.5276       -34.4522 -52.6777     -45.3758    True  0.4965
         1.02      0.0025         0.95      0.5         0.0       0.0       1.0 22.5179       -34.4522 -52.7204     -45.3758    True  0.4963
         1.03     -0.0100         0.95      0.2         0.0       0.0       1.0 22.4571       -32.4389 -53.5041     -44.7389    True  0.5020
         1.03     -0.0100         0.94      0.2         0.0       0.0       1.0 22.4411       -36.1692 -47.7901     -47.7901    True  0.4696
         1.02      0.0025         0.95      0.4         0.0       0.0       1.0 22.4316       -32.9486 -53.3311     -44.4043    True  0.5052
         1.02      0.0025         0.95      0.6         0.0       0.0       1.0 22.4161       -35.9557 -52.5730     -46.1889    True  0.4853
         1.02      0.0025         0.95      0.3         0.0       0.0       1.0 22.3197       -31.4450 -53.7452     -43.4458    True  0.5137
         1.02      0.0025         0.95      0.7         0.0       0.0       1.0 22.2980       -37.4593 -52.4253     -47.0227    True  0.4742
         1.04      0.0000         0.94      1.0         0.0       0.0       1.0 22.2895       -32.6290 -46.1701     -46.1701    True  0.4828
         1.03     -0.0100         0.95      0.3         0.0       0.0       1.0 22.2569       -35.1108 -53.7831     -47.0990    True  0.4726
         1.04      0.0000         0.95      1.0         0.0       0.0       1.0 22.2569       -26.9342 -49.3764     -44.0675    True  0.5051
         1.03     -0.0050         0.95      0.2         0.0       0.0       1.0 22.2546       -29.9414 -53.4393     -42.6961    True  0.5212
         1.03     -0.0100         0.94      0.3         0.0       0.0       1.0 22.2177       -37.9393 -49.4050     -49.4050    True  0.4497
         1.02      0.0100         0.95      1.0         0.0       0.0       1.0 22.2086       -26.9342 -49.6318     -42.3413    True  0.5245
         1.02      0.0100         0.93      0.9         0.0       0.0       1.0 22.2056       -32.6290 -49.7387     -49.7387    True  0.4464
         1.03     -0.0050         0.95      0.3         0.0       0.0       1.0 22.1822       -31.4450 -53.3167     -44.1105    True  0.5029

==============================================================================================================
BEST COMBO
  entry=1.02  drop=0.005  exit=0.95  buy=0.8  base=0.0  x2=0.0  x3=1.0
  CAGR 22.97%   worst year -38.96%   final $1,272,536   (SPY B&H CAGR 11.34%)

  Year-by-year (best combo):
    2003  start $      10,000  end $      17,399  return   +74.0%
    2004  start $      17,373  end $      21,693  return   +24.9%
    2005  start $      21,384  end $      23,229  return    +8.6%
    2006  start $      24,451  end $      33,679  return   +37.7%
    2007  start $      33,497  end $      24,788  return   -26.0%
    2008  start $      24,788  end $      24,788  return    +0.0%
    2009  start $      24,788  end $      41,182  return   +66.1%
    2010  start $      43,254  end $      47,789  return   +10.5%
    2011  start $      49,179  end $      40,804  return   -17.0%
    2012  start $      40,804  end $      50,589  return   +24.0%
    2013  start $      54,350  end $     110,535  return  +103.4%
    2014  start $     107,378  end $     152,547  return   +42.1%
    2015  start $     152,133  end $     133,388  return   -12.3%
    2016  start $     133,388  end $     176,310  return   +32.2%
    2017  start $     180,126  end $     302,150  return   +67.7%
    2018  start $     308,337  end $     277,903  return    -9.9%
    2019  start $     277,903  end $     409,397  return   +47.3%
    2020  start $     420,449  end $     482,439  return   +14.7%
    2021  start $     462,667  end $     958,313  return  +107.1%
    2022  start $     975,085  end $     595,163  return   -39.0%
    2023  start $     595,163  end $     735,197  return   +23.5%
    2024  start $     721,901  end $   1,202,540  return   +66.6%
    2025  start $   1,192,501  end $   1,486,242  return   +24.6%
    2026  start $   1,493,560  end $   1,272,536  return   -14.8%
