entry_signal,drop_level,exit_signal,buy_pct,alloc_base,alloc_x2,alloc_x3,cagr,worst_ann_ret,max_dd,max_dd_real,passed,calmar
1.01,-0.01,0.93,0.1,0.0,0.0,1.0,18.6564,-40.9499,-54.7074,-54.7074,False,0.341
1.01,-0.01,0.93,0.1,0.0,0.25,0.75,17.6555,-38.6008,-51.3629,-51.3629,True,0.3437
1.01,-0.01,0.93,0.1,0.0,0.5,0.5,16.5843,-35.8336,-47.7275,-47.7275,True,0.3475
1.01,-0.01,0.93,0.1,0.0,0.75,0.25,15.4353,-32.5195,-43.7647,-43.7647,True,0.3527
1.01,-0.01,0.93,0.1,0.0,1.0,0.0,14.1996,-28.4709,-39.4319,-39.4319,True,0.3601
1.01,-0.01,0.93,0.1,0.1,0.0,1.0,18.1769,-39.9748,-51.5454,-51.5454,True,0.3526
1.01,-0.01,0.93,0.1,0.1,0.25,0.75,17.2358,-37.6561,-48.3133,-48.3133,True,0.3568
1.01,-0.01,0.93,0.1,0.1,0.5,0.5,16.2342,-34.9521,-44.8233,-44.8233,True,0.3622
1.01,-0.01,0.93,0.1,0.1,0.75,0.25,15.1662,-31.7523,-41.0457,-41.0457,True,0.3695
1.01,-0.01,0.93,0.1,0.1,1.0,0.0,14.025,-27.9002,-36.9123,-36.9123,True,0.38
1.01,-0.01,0.93,0.1,0.2,0.0,1.0,17.659,-38.8721,-48.2492,-48.2492,True,0.366
1.01,-0.01,0.93,0.1,0.2,0.25,0.75,16.783,-36.5993,-45.1542,-45.1542,True,0.3717
1.01,-0.01,0.93,0.1,0.2,0.5,0.5,15.8556,-33.9783,-42.0985,-41.8358,True,0.379
1.01,-0.01,0.93,0.1,0.2,0.75,0.25,14.8729,-30.9177,-38.6626,-38.3353,True,0.388
1.01,-0.01,0.93,0.1,0.2,1.0,0.0,13.8306,-27.2914,-34.9728,-34.9728,True,0.3955
1.01,-0.01,0.93,0.1,0.3,0.0,1.0,17.069,-37.6336,-46.6896,-45.5632,True,0.3746
1.01,-0.01,0.93,0.1,0.3,0.25,0.75,16.2656,-35.4273,-44.3479,-43.1139,True,0.3773
1.01,-0.01,0.93,0.1,0.3,0.5,0.5,15.4211,-32.9131,-41.6698,-40.5167,True,0.3806
1.01,-0.01,0.93,0.1,0.3,0.75,0.25,14.5309,-30.018,-38.6353,-37.7578,True,0.3848
1.01,-0.01,0.93,0.1,0.3,1.0,0.0,13.5939,-26.6444,-35.1944,-34.7409,True,0.3913
1.01,-0.01,0.93,0.2,0.0,0.0,1.0,18.9413,-43.081,-53.8217,-53.8217,False,0.3519
1.01,-0.01,0.93,0.2,0.0,0.25,0.75,17.9262,-40.6421,-50.7441,-50.7441,False,0.3533
1.01,-0.01,0.93,0.2,0.0,0.5,0.5,16.8385,-37.7785,-47.337,-47.337,True,0.3557
1.01,-0.01,0.93,0.2,0.0,0.75,0.25,15.6703,-34.3566,-43.5427,-43.5427,True,0.3599
1.01,-0.01,0.93,0.2,0.0,1.0,0.0,14.4119,-30.18,-39.2892,-39.2892,True,0.3668
1.01,-0.01,0.93,0.2,0.1,0.0,1.0,18.4335,-42.1973,-51.1238,-51.1238,False,0.3606
1.01,-0.01,0.93,0.2,0.1,0.25,0.75,17.4765,-39.7839,-48.1292,-48.1292,True,0.3631
1.01,-0.01,0.93,0.2,0.1,0.5,0.5,16.4575,-36.9752,-44.8373,-44.8373,True,0.367
1.01,-0.01,0.93,0.2,0.1,0.75,0.25,15.3701,-33.6548,-41.2002,-41.2002,True,0.3731
1.01,-0.01,0.93,0.2,0.1,1.0,0.0,14.2066,-29.6556,-37.1579,-37.1579,True,0.3823
