LEADERBOARD — SPY exit MA200, grid v3, 2003-01-02 -> 2026-06-11
Filter: annual return >= -40% from 2009 onward

 entry_signal  drop_level  exit_signal  buy_pct  alloc_base  alloc_x2  alloc_x3    cagr  worst_ann_ret   max_dd  max_dd_real  passed  calmar
         1.02      0.0100         0.95      1.0         0.0       0.0       1.0 22.8281       -34.2137 -49.7387     -49.7387    True  0.4590
         1.02      0.0100         0.95      0.9         0.0       0.0       1.0 22.4818       -34.2137 -49.7387     -49.7387    True  0.4520
         1.02      0.0025         0.95      0.2         0.0       0.0       1.0 22.1930       -37.6707 -56.3507     -56.3507    True  0.3938
         1.02      0.0025         0.95      0.3         0.0       0.0       1.0 22.1502       -39.3991 -57.4651     -57.4651    True  0.3855
         1.02      0.0100         0.95      0.8         0.0       0.0       1.0 22.1332       -34.2137 -49.7387     -49.7387    True  0.4450
         1.04      0.0000         0.95      1.0         0.0       0.0       1.0 22.1234       -34.2137 -55.4435     -55.4435    True  0.3990
         1.02      0.0100         0.94      1.0         0.0       0.0       1.0 22.0643       -35.7727 -49.7387     -49.7387    True  0.4436
         1.03     -0.0100         0.95      0.2         0.0       0.0       1.0 22.0388       -37.6707 -56.4520     -56.4520    True  0.3904
         1.02      0.0000         0.95      0.1         0.0       0.0       1.0 22.0150       -35.9422 -53.0521     -53.0521    True  0.4150
         1.04      0.0000         0.95      0.9         0.0       0.0       1.0 21.9997       -34.2137 -55.8228     -55.8228    True  0.3941
         1.02      0.0000         1.00      1.0         0.0       0.0       1.0 21.9364       -32.6688 -43.5256     -43.5256    True  0.5040
         1.02     -0.0050         0.95      0.1         0.0       0.0       1.0 21.9314       -37.4818 -54.7797     -54.7797    True  0.4004
         1.02      0.0100         0.95      0.9         0.1       0.0       1.0 21.9010       -33.3352 -48.3972     -48.3972    True  0.4525
         1.04      0.0000         0.95      0.8         0.0       0.0       1.0 21.8751       -34.2137 -56.2022     -56.2022    True  0.3892
         1.02      0.0000         1.00      0.9         0.0       0.0       1.0 21.8686       -31.7398 -43.1472     -43.1472    True  0.5068
         1.03     -0.0100         0.95      0.1         0.0       0.0       1.0 21.8660       -35.9422 -55.1032     -55.1032    True  0.3968
         1.02      0.0000         0.95      0.2         0.0       0.0       1.0 21.8402       -37.6707 -56.3507     -56.3507    True  0.3876
         1.03     -0.0050         0.95      0.2         0.0       0.0       1.0 21.8311       -37.6707 -56.5591     -56.5591    True  0.3860
         1.04      0.0025         0.95      1.0         0.0       0.0       1.0 21.8251       -34.2137 -55.4435     -55.4435    True  0.3936
         1.02      0.0050         0.95      0.3         0.0       0.0       1.0 21.8167       -39.3991 -56.3945     -56.3945    True  0.3869

==============================================================================================================
BEST COMBO
  entry=1.02  drop=0.01  exit=0.95  buy=1.0  base=0.0  x2=0.0  x3=1.0
  CAGR 22.83%   worst year -34.21%   final $1,238,870   (SPY B&H CAGR 11.34%)

  Year-by-year (best combo):
    2003  start $      10,000  end $      17,939  return   +79.4%
    2004  start $      17,913  end $      22,367  return   +24.9%
    2005  start $      22,048  end $      23,950  return    +8.6%
    2006  start $      25,211  end $      34,725  return   +37.7%
    2007  start $      34,538  end $      34,393  return    -0.4%
    2008  start $      33,475  end $      29,342  return   -12.3%
    2009  start $      29,342  end $      48,433  return   +65.1%
    2010  start $      50,870  end $      47,866  return    -5.9%
    2011  start $      49,259  end $      40,870  return   -17.0%
    2012  start $      40,870  end $      48,912  return   +19.7%
    2013  start $      52,548  end $     106,870  return  +103.4%
    2014  start $     103,818  end $     147,489  return   +42.1%
    2015  start $     147,089  end $     114,111  return   -22.4%
    2016  start $     114,111  end $     151,416  return   +32.7%
    2017  start $     154,693  end $     259,488  return   +67.7%
    2018  start $     264,802  end $     219,792  return   -17.0%
    2019  start $     219,792  end $     324,061  return   +47.4%
    2020  start $     332,810  end $     309,003  return    -7.2%
    2021  start $     296,339  end $     613,801  return  +107.1%
    2022  start $     624,544  end $     410,864  return   -34.2%
    2023  start $     410,864  end $     611,447  return   +48.8%
    2024  start $     600,389  end $   1,000,126  return   +66.6%
    2025  start $     991,776  end $   1,042,250  return    +5.1%
    2026  start $   1,047,382  end $   1,238,870  return   +18.3%
