entry_signal,drop_level,exit_signal,buy_pct,alloc_base,alloc_x2,alloc_x3,cagr,worst_ann_ret,passed
1.01,-0.01,0.93,0.1,0.0,0.0,1.0,22.6212,-50.6663,False
1.01,-0.01,0.93,0.1,0.0,0.25,0.75,21.2155,-47.9083,False
1.01,-0.01,0.93,0.1,0.0,0.5,0.5,19.7291,-44.799,False
1.01,-0.01,0.93,0.1,0.0,0.75,0.25,18.1542,-41.2317,False
1.01,-0.01,0.93,0.1,0.0,1.0,0.0,16.4814,-37.0511,True
1.01,-0.01,0.93,0.1,0.1,0.0,1.0,22.1182,-50.5854,False
1.01,-0.01,0.93,0.1,0.1,0.25,0.75,20.7324,-47.8177,False
1.01,-0.01,0.93,0.1,0.1,0.5,0.5,19.2726,-44.7047,False
1.01,-0.01,0.93,0.1,0.1,0.75,0.25,17.7343,-41.15,False
1.01,-0.01,0.93,0.1,0.1,1.0,0.0,16.1134,-37.022,True
1.01,-0.01,0.93,0.1,0.2,0.0,1.0,21.5504,-50.4871,False
1.01,-0.01,0.93,0.1,0.2,0.25,0.75,20.1909,-47.7084,False
1.01,-0.01,0.93,0.1,0.2,0.5,0.5,18.7651,-44.592,False
1.01,-0.01,0.93,0.1,0.2,0.75,0.25,17.2719,-41.0538,False
1.01,-0.01,0.93,0.1,0.2,1.0,0.0,15.7121,-36.9885,True
1.01,-0.01,0.93,0.1,0.3,0.0,1.0,20.914,-50.3646,False
1.01,-0.01,0.93,0.1,0.3,0.25,0.75,19.5828,-47.5734,False
1.01,-0.01,0.93,0.1,0.3,0.5,0.5,18.195,-44.4544,False
1.01,-0.01,0.93,0.1,0.3,0.75,0.25,16.7527,-40.9382,False
1.01,-0.01,0.93,0.1,0.3,1.0,0.0,15.2625,-36.9492,True
1.01,-0.01,0.93,0.2,0.0,0.0,1.0,21.4824,-59.0201,False
1.01,-0.01,0.93,0.2,0.0,0.25,0.75,20.2159,-55.9101,False
1.01,-0.01,0.93,0.2,0.0,0.5,0.5,18.8586,-52.4373,False
1.01,-0.01,0.93,0.2,0.0,0.75,0.25,17.4029,-48.4922,False
1.01,-0.01,0.93,0.2,0.0,1.0,0.0,15.8389,-43.9134,False
1.01,-0.01,0.93,0.2,0.1,0.0,1.0,20.9627,-58.5866,False
1.01,-0.01,0.93,0.2,0.1,0.25,0.75,19.7238,-55.402,False
1.01,-0.01,0.93,0.2,0.1,0.5,0.5,18.4022,-51.8417,False
1.01,-0.01,0.93,0.2,0.1,0.75,0.25,16.9938,-47.7988,False
1.01,-0.01,0.93,0.2,0.1,1.0,0.0,15.4945,-43.1241,False
1.01,-0.01,0.93,0.2,0.2,0.0,1.0,20.3895,-58.0523,False
