LEADERBOARD — SPY exit MA50, grid v3, 2003-01-02 -> 2026-06-11
Filter: annual return >= -40% from 2009 onward

 entry_signal  drop_level  exit_signal  buy_pct  alloc_base  alloc_x2  alloc_x3    cagr  worst_ann_ret  passed
         1.02      0.0100         0.93      1.0         0.0       0.0       1.0 25.2223       -32.6290    True
         1.02      0.0100         0.93      0.9         0.0       0.0       1.0 24.8693       -32.6290    True
         1.02      0.0100         0.93      1.0         0.1       0.0       1.0 24.6984       -32.4957    True
         1.02      0.0100         0.93      0.8         0.0       0.0       1.0 24.5139       -32.6290    True
         1.04      0.0000         0.93      1.0         0.0       0.0       1.0 24.5038       -32.6290    True
         1.02      0.0100         0.93      0.9         0.1       0.0       1.0 24.4552       -32.4918    True
         1.02      0.0025         0.93      0.2         0.0       0.0       1.0 24.4165       -37.5465    True
         1.04      0.0000         0.93      0.9         0.0       0.0       1.0 24.3777       -32.6290    True
         1.03     -0.0100         0.93      0.2         0.0       0.0       1.0 24.2597       -37.5465    True
         1.04      0.0000         0.93      0.8         0.0       0.0       1.0 24.2508       -32.6290    True
         1.04      0.0025         0.93      1.0         0.0       0.0       1.0 24.1997       -32.6290    True
         1.03     -0.0100         0.93      0.1         0.0       0.0       1.0 24.1650       -35.0878    True
         1.02      0.0100         0.93      0.7         0.0       0.0       1.0 24.1560       -32.6290    True
         1.04     -0.0050         0.93      1.0         0.0       0.0       1.0 24.1449       -32.6290    True
         1.04      0.0000         0.93      0.7         0.0       0.0       1.0 24.1230       -32.6290    True
         1.02      0.0100         0.93      1.0         0.2       0.0       1.0 24.1198       -32.3326    True
         1.02      0.0100         0.93      0.8         0.1       0.0       1.0 24.0944       -32.4849    True
         1.04     -0.0050         0.93      0.9         0.0       0.0       1.0 24.0903       -32.6290    True
         1.02      0.0000         0.93      0.1         0.0       0.0       1.0 24.0870       -35.0878    True
         1.03     -0.0050         0.93      0.2         0.0       0.0       1.0 24.0482       -37.5465    True

==============================================================================================================
BEST COMBO
  entry=1.02  drop=0.01  exit=0.93  buy=1.0  base=0.0  x2=0.0  x3=1.0
  CAGR 25.22%   worst year -32.63%   final $1,947,754   (SPY B&H CAGR 11.34%)

  Year-by-year (best combo):
    2003  start $      10,000  end $      17,939  return   +79.4%
    2004  start $      17,913  end $      22,367  return   +24.9%
    2005  start $      22,048  end $      23,950  return    +8.6%
    2006  start $      25,211  end $      34,725  return   +37.7%
    2007  start $      34,538  end $      34,393  return    -0.4%
    2008  start $      33,475  end $      25,808  return   -22.9%
    2009  start $      25,808  end $      42,601  return   +65.1%
    2010  start $      44,744  end $      46,633  return    +4.2%
    2011  start $      47,989  end $      39,817  return   -17.0%
    2012  start $      39,817  end $      47,651  return   +19.7%
    2013  start $      51,194  end $     104,115  return  +103.4%
    2014  start $     101,143  end $     143,688  return   +42.1%
    2015  start $     143,298  end $     111,170  return   -22.4%
    2016  start $     111,170  end $     147,514  return   +32.7%
    2017  start $     150,706  end $     252,801  return   +67.7%
    2018  start $     257,978  end $     232,514  return    -9.9%
    2019  start $     232,514  end $     342,819  return   +47.4%
    2020  start $     352,074  end $     435,015  return   +23.6%
    2021  start $     417,187  end $     864,111  return  +107.1%
    2022  start $     879,234  end $     592,349  return   -32.6%
    2023  start $     592,349  end $     881,533  return   +48.8%
    2024  start $     865,590  end $   1,441,897  return   +66.6%
    2025  start $   1,429,860  end $   1,638,628  return   +14.6%
    2026  start $   1,646,697  end $   1,947,754  return   +18.3%
