Year,SPY Ret %,SPY Value,Strategy Ret %,Strategy Value
2011,0.85,10085.24,-21.34,7865.63
2012,15.99,11697.91,29.07,10152.45
2013,32.31,15477.23,118.49,22182.45
2014,13.46,17561.06,38.01,30613.67
2015,1.23,17777.81,-25.32,22863.11
2016,12.0,19910.77,25.75,28751.04
2017,21.71,24232.48,71.37,49271.93
2018,-4.57,23125.3,-15.3,41734.37
2019,31.22,30345.92,44.91,60475.43
2020,18.33,35908.81,-8.87,55112.52
2021,28.73,46224.97,98.64,109475.11
2022,-18.18,37823.41,-37.09,68867.99
2023,26.18,47724.0,41.49,97440.31
2024,24.89,59600.8,63.57,159380.24
2025,17.72,70161.51,15.63,184292.6
2026,10.03,77200.1,-10.91,164184.08
